best_file,best_offset_hex,japanese,vi_full,translation_status
PRGPACK.BDP,0x156acf,ぐぬ,Gừ...,TRANSLATED_SOURCE_FRAGMENT_BATCH10
PRGPACK.BDP,0x176138,けこ,けこ,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0x16de0d,ﾂくる,tạo...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x15612e,すぎぃ,...quá rồi.,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x155e63,ぱいだ,...đầy rồi.,TRANSLATED_SOURCE_FRAGMENT_BATCH10
PRGPACK.BDP,0x16ddfd,強くな,mạnh lên...,TRANSLATED_SOURCE_FRAGMENT_BATCH10
PRGPACK.BDP,0x16e1e2,新ブラ,Huyết Thương mới...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x156c55,１ター,1 lượt...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x16e32a,ﾀレイヤ,người chơi...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
SLPS_020.75,0x1d87,ﾈ氷の弓,Cung Băng,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
PRGPACK.BDP,0x16de80,ﾓ正しく,chính xác...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x16dea8,ﾝ定する,xác nhận...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x16df22,/ﾂづける,tiếp tục...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x176192,ゆよ,ゆよ,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0x155e46,+手持ちの,đang có trong tay...,TRANSLATED_SOURCE_FRAGMENT_BATCH10
PRGPACK.BDP,0x156c5c,1ンごとに,...mỗi lượt,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x16e3b2,eﾅレベル,cấp độ...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x1562df,･シンボル,Biểu tượng...,TRANSLATED_SOURCE_FRAGMENT_BATCH10
SLPS_020.75,0x1c82,d<力の指輪,Nhẫn Sức Mạnh,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1f74,dﾈハンマー,Búa,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
SLPS_020.75,0x1dbb,ﾈせつなの剣,Kiếm Setsuna,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
SLPS_020.75,0x1d1f,ﾈほのおの弓,Cung Lửa,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
SLPS_020.75,0x1d53,ﾈ復活の霊薬,Linh Dược Hồi Sinh,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
PRGPACK.BDP,0x16de20,ﾌ武器スキル,kỹ năng vũ khí...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
SLPS_020.75,0x1be6,d<せつなの剣,Kiếm Setsuna,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
PRGPACK.BDP,0x17616e,のはひふへほ,のはひふへほ,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0x155ead,の土地を買う,mua mảnh đất của...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x16dcef,もつよいほう,...khẩu pháo cực mạnh,TRANSLATED_SOURCE_FRAGMENT_BATCH10
SLPS_020.75,0x1c69,$いやしのうた,Khúc Ca Hồi Phục,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1c4f,$フェザーレイ,Feather Ray,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1cd1,(盗賊のオーブ,Quả Cầu Đạo Tặc,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1da1,ﾈダークメテオ,Thiên Thạch Hắc Ám,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
PRGPACK.BDP,0x16e2fd,ﾉしっぱいしま,...đã thất bại,TRANSLATED_SOURCE_FRAGMENT_BATCH11
SLPS_020.75,0x1cea,d2まどわしの玉,Ngọc Mê Hoặc,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1d04,d2魔剣ムラマサ,Ma Kiếm Muramasa,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1f5a,dﾈいちかばちか,Liều Một Phen,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
PRGPACK.BDP,0x1569fb,l我に 近付くと,Khi đến gần ta...,TRANSLATED_SOURCE_FRAGMENT_BATCH10
PRGPACK.BDP,0x17615e,ＧＨＩなにぬね,ＧＨＩなにぬね,KEEP_INPUT_TABLE_BATCH10
SLPS_020.75,0x1dd5,$ブラッドスピア,Huyết Thương,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1def,*スノーストーム,Bão Tuyết,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1cb7,0アースクエイク,Động Đất,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
PRGPACK.BDP,0x68a88,あっ 魔王ｶｰﾄﾞが,"Á, Thẻ Ma Vương...",TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
PRGPACK.BDP,0x16de63,ゲームをはじめﾖ,Bắt đầu trò chơi...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
PRGPACK.BDP,0x68a98,操られちゃった｡,Bị điều khiển mất rồi.,TRANSLATED_SOURCE_BATCH10
PRGPACK.BDP,0x16ddc2,迢Cをつけてね！,Hãy chú ý nhé!,TRANSLATED_SOURCE_FRAGMENT_BATCH11
SLPS_020.75,0x1d39,ﾈメテオフォール,Mưa Thiên Thạch,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
PRGPACK.BDP,0x16df62,7空き容量が必要0,Cần dung lượng trống...,TRANSLATED_SOURCE_FRAGMENT_BATCH11
SLPS_020.75,0x1c34,d2ブラッドスピア,Huyết Thương,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1c9c,d<ストームソード,Kiếm Bão,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH10
SLPS_020.75,0x1d6c,dﾈエクスカリバー,Excalibur,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
PRGPACK.BDP,0x176126,あいうえおかきく,あいうえおかきく,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0x17614a,すせそたちつてと,すせそたちつてと,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0x16dd96,チタップがささっ,...Multitap đã được cắm...,TRANSLATED_SOURCE_FRAGMENT_BATCH10
PRGPACK.BDP,0x155e51,武器カードがいっ,Thẻ vũ khí đã...,TRANSLATED_SOURCE_FRAGMENT_BATCH10
PRGPACK.BDP,0x176180,ＫＬまみむめもや,ＫＬまみむめもや,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0x68a14,魔王ｶｰﾄﾞ 何それ？,Thẻ Ma Vương? Cái gì vậy?,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
SLPS_020.75,0x37f8,お金が足りないわよ｡,Không đủ tiền đâu.,TRANSLATED_SOURCE_BATCH10
PRGPACK.BDP,0xeb68c,ＡＢＣあいうえおかきくけこ,ＡＢＣあいうえおかきくけこ,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0xeb6a8,ＤＥＦさしすせそたちつてと,ＤＥＦさしすせそたちつてと,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0xeb6c4,ＧＨＩなにぬねのはひふへほ,ＧＨＩなにぬねのはひふへほ,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0xeb6e0,ＪＫＬまみむめもやゆよ,ＪＫＬまみむめもやゆよ,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0xeb6fc,ＭＮＯらりるれろわをん,ＭＮＯらりるれろわをん,KEEP_INPUT_TABLE_BATCH10
PRGPACK.BDP,0x68a6c,勝利者の所有地になりました｡,Đã trở thành đất thuộc sở hữu của người chiến thắng.,TRANSLATED_SOURCE_BATCH10
SLPS_020.75,0x2428,ﾆﾇﾈﾉﾊﾋﾌﾍﾎﾏﾐﾑｺｻｼｽｾｿﾀﾁﾂﾃﾄﾅベリアル,Belial,TRANSLATED_NORMALIZED_SCANNER_PREFIX_BATCH11
