japanese,vi_full,vi_semantic_current,status,note
酒場へようこそ,Chào mừng đến quán rượu.,Chào mừng đến quán rượu,SOURCE_FULL_TRANSLATED_ONLY,"Thoại chào khách"
ちょうどタイクツしてたんだ,Đúng lúc tôi đang buồn chán đây.,Ta đang chán đúng lúc,SOURCE_FULL_TRANSLATED_ONLY,"Giọng hội thoại tự nhiên; không ép byte"
わたしと一勝負してかないかい,Trước khi đi, làm một ván với tôi chứ?,Đấu với ta một ván nhé?,SOURCE_FULL_TRANSLATED_ONLY,"一勝負 = một ván/một trận"
今からふるダイスの目がこのダイス,Hãy đoán xem mặt xúc xắc sắp gieo so với mặt xúc xắc này...,Xúc xắc sắp gieo là,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với dòng kế"
より大きいかちいさいか当てるんだよ,...sẽ lớn hơn hay nhỏ hơn nhé.,Đoán lớn hơn hay nhỏ hơn,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối từ dòng trước"
最初の賞品はこいつさ,Phần thưởng đầu tiên là thứ này.,Đây là thưởng đầu,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
なんだい、もう終わりかい,"Sao thế, nghỉ luôn rồi à?","Sao, nghỉ rồi à?",SOURCE_FULL_TRANSLATED_ONLY,"Giọng trêu nhẹ"
…つまんないね,…Chán thật đấy.,...Chán thật,SOURCE_FULL_TRANSLATED_ONLY,"Giữ dấu lửng mở đầu"
もう勝負は終わりだよ,Ván đấu kết thúc rồi.,Ván đấu kết thúc rồi,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
もう一勝負してくかい？,Làm thêm một ván nữa chứ?,Đấu thêm một ván?,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
つぎの賞品はこいつだよ,Phần thưởng tiếp theo là thứ này.,Thưởng tiếp theo đây,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
%d枚の武器カードが手に入ったよ,Bạn nhận được %d Thẻ Vũ khí.,Nhận %d thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
でももう持ち切れないみたい,"Nhưng có vẻ bạn không mang thêm được nữa.",Có vẻ hết chỗ mang,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo đầy sức chứa"
いらないカードを捨ててね,Hãy bỏ những lá bài không cần.,Bỏ thẻ không cần đi,SOURCE_FULL_TRANSLATED_ONLY,"Quản lý bài"
