file,offset_hex,japanese,vi_accented,field_bytes,vi_bytes,free_bytes,source,category
PRGPACK.BDP,0x67540,この土地を買うよ,Mua đất,16,14,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67558,かいしめ,Thâu,8,8,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67644,修道会が戦いを止めてくれたよ,Tu viện ngăn,28,24,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67664,戦いをしかけることができるよ,Thách đấu được,28,28,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67800,所得税,TN,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67818,関係なかったみたい,Không sao,18,18,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x6782c,土地税,TĐ,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67850,プール金取得,Quỹ,12,6,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67860,%dゼニーもらっちゃった,Nhận %d Z,22,16,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x678a8,あーあ,Ôi,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67920,ルートを切りかえたよ,Đã đổi,20,12,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67974,抵当,TC,4,4,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x679c0,自分が止まると,Dừng,14,8,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x679e0,戦いをさけられる,Tránh,16,10,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67a20,して戦闘をしかける,Thách đấu,18,18,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67aec,土地名,Tên,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b08,合計金額,Tổng,8,8,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b14,物件,TS,4,4,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b1c,どの物件を売るの？,Bán đâu?,18,16,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b30,不足金額,Nợ,8,4,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b4c,どの土地をせめる？,Đánh đất?,18,18,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b60,シンボル,Biểu,8,8,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b6c,どれを壊すの？,Phá gì?,14,14,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b7c,抵当額,TC$,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b84,どこを戻すの？,Chuộc?,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67b94,どの物件を売る？,Bán đâu?,16,16,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67ba8,エリア名,Khu,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67bc8,どこに建てる？,Xây?,14,8,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67c80,通行税,Phí,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67c88,物件を決めたら、,"Chọn TS,",16,16,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67d98,お金たりないじゃない！,Thiếu tiền!,22,22,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67db0,不足金額： %dゼニー,Thiếu:%dZ,19,16,3,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
