file,offset_hex,old_candidate,new_candidate,reason
PRGPACK.BDP,0x8fe94,Côngx2 dễ,Côngx2 êm,frozen60
PRGPACK.BDP,0x90054,dễ bị dí,hay bị dí,frozen60
PRGPACK.BDP,0x90218,Lật kèo!,Lật keo!,frozen60
PRGPACK.BDP,0x907f8,Chăm nghèo,Chăm ngheo,frozen60
PRGPACK.BDP,0x90870,Gặp gỡ,Gặp,frozen60
PRGPACK.BDP,0x95ae4,Đỡ hộ?,Giúp?,frozen60
PRGPACK.BDP,0x95e7c,Dễ,De,frozen60
PRGPACK.BDP,0xb830c,Ừ.,ừ.,frozen60
PRGPACK.BDP,0xb8314,Biểu tượng vỡ!,Biểu tượng bể!,frozen60
PRGPACK.BDP,0xb8fd0,Mua đất tùy ý,Mua đất tuy y,frozen60
PRGPACK.BDP,0xc08d4,Chu kỳ tăng$,Chu ky tăng$,frozen60
PRGPACK.BDP,0x104b24,chẳng kém đâu!,chả kém đâu!,frozen60
PRGPACK.BDP,0x104bdc,Rõ!,Ro!,frozen60
PRGPACK.BDP,0x104c80,Rõ...,Ro...,frozen60
PRGPACK.BDP,0x1050bc,Ưm..,ưm..,frozen60
PRGPACK.BDP,0x105360,Ăn đi!,ăn đi!,frozen60
PRGPACK.BDP,0x10542c,chẳng có,chả có,frozen60
PRGPACK.BDP,0x105450,Kẻ hèn k.mơ,Kẻ hen k.mơ,frozen60
PRGPACK.BDP,0x10565c,Điều tra rõ.,Điều tra ro.,frozen60
PRGPACK.BDP,0x105988,Ở lại đây!,ở lại đây!,frozen60
PRGPACK.BDP,0x105a8c,Ừ.,ừ.,frozen60
PRGPACK.BDP,0x105e14,Cảnh đẹp!,Cảnh hay!,frozen60
PRGPACK.BDP,0x105e9c,Gió nhẹ,Gió nhe,frozen60
PRGPACK.BDP,0x105eb8,dễ chịu,êm dịu,frozen60
PRGPACK.BDP,0x105ee0,Chẳng ai nói,Chả ai nói,frozen60
PRGPACK.BDP,0x1061fc,Chẳng ai cứu,Chả ai cứu,frozen60
PRGPACK.BDP,0x106280,Ai!? Ở đâu?,Ai!? ở đâu?,frozen60
PRGPACK.BDP,0x106310,Sẵn!,Rồi!,frozen60
PRGPACK.BDP,0x1064b8,"À, cô em","A, cô em",frozen60
PRGPACK.BDP,0x10654c,Ước...＠,ước...＠,frozen60
PRGPACK.BDP,0x106698,Hẹn gặp lại,Gặp lại,frozen60
PRGPACK.BDP,0x106e78,Á!,A!,frozen60
PRGPACK.BDP,0x1070c4,Ááá!!,Aaa!!,frozen60
PRGPACK.BDP,0x10712c,hẹp hòi thật,keo thật,frozen60
PRGPACK.BDP,0x107480,"Ừm,","ừm,",frozen60
PRGPACK.BDP,0x1077a4,Cô thợ rèn,Cô thợ ren,frozen60
PRGPACK.BDP,0x1078fc,Nữ lý tưởng,Nữ ly tưởng,frozen60
PRGPACK.BDP,0x107964,Á＠,A＠,frozen60
PRGPACK.BDP,0x1079d0,Mẹ!,Má!,frozen60
PRGPACK.BDP,0x10838c,Vô lễ quá!,Vô phép!,frozen60
PRGPACK.BDP,0x1085e8,Rõ!,Ro!,frozen60
PRGPACK.BDP,0x1086e8,"Mẹ, về!","Má, về!",frozen60
PRGPACK.BDP,0x1087b8,Ăn nhiều!,ăn nhiều!,frozen60
PRGPACK.BDP,0x1087f4,"(Có mẹ,","(Có má,",frozen60
PRGPACK.BDP,0x1089e0,"...Ồ,","...Ô,",frozen60
PRGPACK.BDP,0x108b98,Rõ,Ro,frozen60
PRGPACK.BDP,0x108c20,Rõ!,Ro!,frozen60
PRGPACK.BDP,0x109258,Âm,âm,frozen60
PRGPACK.BDP,0x13e088,Á!,A!,frozen60
PRGPACK.BDP,0x13e638,Á!,A!,frozen60
PRGPACK.BDP,0x13eef4,Ở đây trống,ở đây trống,frozen60
PRGPACK.BDP,0x13ef40,Á!,A!,frozen60
PRGPACK.BDP,0x13f514,Ááá!,Aaa!,frozen60
PRGPACK.BDP,0x13fac8,Ước trước sụp,ước trước sụp,frozen60
PRGPACK.BDP,0x13ff90,Hỡi thần GaiaM,Này thần GaiaM,frozen60
PRGPACK.BDP,0x140074,Ư...!,ư...!,frozen60
PRGPACK.BDP,0x140e78,Ếch đáy giếng,ếch đáy giếng,frozen60
PRGPACK.BDP,0x140fa8,Lời ngươi vô lý,Lời ngươi vô ly,frozen60
PRGPACK.BDP,0x14101c,Ăn chùy!,ăn chùy!,frozen60
PRGPACK.BDP,0x141030,Á!!,A!!,frozen60
PRGPACK.BDP,0x14157c,Ừ...,ừ...,frozen60
PRGPACK.BDP,0x141690,Á!!,A!!,frozen60
PRGPACK.BDP,0x14c374,Suýt rồi,Suyt rồi,frozen60
SLPS_020.75,0x39d0,Ép thoát,ép thoát,frozen60
