offset_hex,japanese,vi_no_accents
0xc00b4,神々の戦いがはじまるのだ,THAN CHIEN
0xc00d0,人々をコマとして、,NGUOI=CO
0xc00e4,世界というゲームボードに、,THEGIOI=BANCO
0xc0100,あらがうことはできない,KO CHONG
0xc0118,座すという神々の力に,LUC THAN
0xc0130,まぼろしの大地に,DAT AO
0xc0144,どんな王も司教も、,VUA TU SI
0xc0158,「ガイアマスター」のルールのみ,LUAT GAIA
0xc0178,いまや世界をつかさどるのは,GIO THE GIOI
0xc0194,あとかたもなくくずれさる,TAN VO HET
0xc01b0,今日をかぎりに,HOM NAY
0xc01c0,人のきずいたあらゆる法は,LUAT NGUOI
0xc01dc,おとずれたのだ！,DEN LUC!
0xc01f0,神々のゲーム「ガイアマスター」の時が,THOI GAIA MASTER
0xc0218,大陸をこんとんにたたきこむ,LUC DIA LOAN
0xc0234,１００年に一度めぐりくる宿命の時,100 NAM MENH
0xc0258,空にうかぶまぼろしの大地,DAT AO TROI
0xc0274,月も太陽もおおいかくす,CHE CA TROI
0xc028c,世界はもはや人のものではなくなった,THE GIOI MAT CHU
0xbfc20,武器スキルのデータをロードする？,TAI DU LIEU VK?
0xbfc44,あたらしく武器スキルのデータを,TAI MOI KY NANG
0xbfc64,ロードしなかったら、ロードされ,NEU KHONG TAI
0xbfc84,ているデータをそのまま使うよ　　↓,DUNG DU LIEU CU
0xbfca8,武器スキルは１レベルではじまるよ,KY NANG LV1
0xbfccc,セーブの時は上書きに気をつけてね,CAN THAN KHI LUU
0xbfd48,/VＣＯＭ%dのキャラをえらんでね,/VCOM%d CHON NV
0xbfd80,ほんとにこのキャラでいいの？,NHAN VAT NAY?
0xbfda0,ほんとにこの設定でいいのね？,XAC NHAN?
0xbfe64,使うコントローラの,TAY CAM
0xbfc04,"    はい     　　　　いいえ",CO      KO
0xbfe00,"  はい   いいえ",CO   KO
