file,offset_hex,vi_accented,category,note
PRGPACK.BDP,0xbfbec,Xác nhận?,setup,
PRGPACK.BDP,0xbfd2c,Chọn tướng,setup,
PRGPACK.BDP,0xbfe4c,Nhấn nút O,setup,
PRGPACK.BDP,0xddd68,Bắt đầu!,setup,
PRGPACK.BDP,0xddd7c,Chưa có,setup,
PRGPACK.BDP,0xde110,Chọn SLOT,setup,
PRGPACK.BDP,0x434,Quán!,tavern,repeat block 1
PRGPACK.BDP,0x444,Đang chán quá,tavern,repeat block 1
PRGPACK.BDP,0x460,Đấu tôi 1 ván?,tavern,repeat block 1
PRGPACK.BDP,0x480,Đoán xúc xắc này,tavern,repeat block 1
PRGPACK.BDP,0x4a4,Lớn hay nhỏ hơn?,tavern,repeat block 1
PRGPACK.BDP,0x4c8,Quà đầu,tavern,repeat block 1
PRGPACK.BDP,0x4e0,Nghỉ rồi?,tavern,repeat block 1
PRGPACK.BDP,0x4fc,...chán,tavern,repeat block 1
PRGPACK.BDP,0x518,Đấu xong,tavern,repeat block 1
PRGPACK.BDP,0x540,Đấu thêm?,tavern,repeat block 1
PRGPACK.BDP,0x558,Quà tiếp,tavern,repeat block 1
PRGPACK.BDP,0x570,Nhận %d vũ khí,tavern,repeat block 1
PRGPACK.BDP,0x590,Hết chỗ chứa,tavern,repeat block 1
PRGPACK.BDP,0x5ac,Bỏ thẻ thừa,tavern,repeat block 1
PRGPACK.BDP,0x5f8,Vũ khí,tavern,repeat block 1
PRGPACK.BDP,0x608,Chưa có,tavern,repeat block 1
PRGPACK.BDP,0x61c,Nhận %d,tavern,repeat block 1
PRGPACK.BDP,0x630,Vũ khí,tavern,repeat block 1
PRGPACK.BDP,0x640,"Bỏ %s,",tavern,repeat block 1
PRGPACK.BDP,0x654,Nhận %s,tavern,repeat block 1
PRGPACK.BDP,0x66c,Nhận %s rồi,tavern,repeat block 1
PRGPACK.BDP,0x684,Bỏ!,tavern,repeat block 1
PRGPACK.BDP,0x31f64,Quán!,tavern,repeat block 2
PRGPACK.BDP,0x31f74,Đang chán quá,tavern,repeat block 2
PRGPACK.BDP,0x31f90,Đấu tôi 1 ván?,tavern,repeat block 2
PRGPACK.BDP,0x31fb0,Đoán xúc xắc này,tavern,repeat block 2
PRGPACK.BDP,0x31fd4,Lớn hay nhỏ hơn?,tavern,repeat block 2
PRGPACK.BDP,0x31ff8,Quà đầu,tavern,repeat block 2
PRGPACK.BDP,0x32010,Nghỉ rồi?,tavern,repeat block 2
PRGPACK.BDP,0x3202c,...chán,tavern,repeat block 2
PRGPACK.BDP,0x32048,Đấu xong,tavern,repeat block 2
PRGPACK.BDP,0x32070,Đấu thêm?,tavern,repeat block 2
PRGPACK.BDP,0x32088,Quà tiếp,tavern,repeat block 2
PRGPACK.BDP,0x320a0,Nhận %d vũ khí,tavern,repeat block 2
PRGPACK.BDP,0x320c0,Hết chỗ chứa,tavern,repeat block 2
PRGPACK.BDP,0x320dc,Bỏ thẻ thừa,tavern,repeat block 2
PRGPACK.BDP,0x32128,Vũ khí,tavern,repeat block 2
PRGPACK.BDP,0x32138,Chưa có,tavern,repeat block 2
PRGPACK.BDP,0x3214c,Nhận %d,tavern,repeat block 2
PRGPACK.BDP,0x32160,Vũ khí,tavern,repeat block 2
PRGPACK.BDP,0x32170,"Bỏ %s,",tavern,repeat block 2
PRGPACK.BDP,0x32184,Nhận %s,tavern,repeat block 2
PRGPACK.BDP,0x3219c,Nhận %s rồi,tavern,repeat block 2
PRGPACK.BDP,0x321b4,Bỏ!,tavern,repeat block 2
PRGPACK.BDP,0x3f688,Quán!,tavern,repeat block 3
PRGPACK.BDP,0x3f698,Đang chán quá,tavern,repeat block 3
PRGPACK.BDP,0x3f6b4,Đấu tôi 1 ván?,tavern,repeat block 3
PRGPACK.BDP,0x3f6d4,Đoán xúc xắc này,tavern,repeat block 3
PRGPACK.BDP,0x3f6f8,Lớn hay nhỏ hơn?,tavern,repeat block 3
PRGPACK.BDP,0x3f71c,Quà đầu,tavern,repeat block 3
PRGPACK.BDP,0x3f734,Nghỉ rồi?,tavern,repeat block 3
PRGPACK.BDP,0x3f750,...chán,tavern,repeat block 3
PRGPACK.BDP,0x3f76c,Đấu xong,tavern,repeat block 3
PRGPACK.BDP,0x3f794,Đấu thêm?,tavern,repeat block 3
PRGPACK.BDP,0x3f7ac,Quà tiếp,tavern,repeat block 3
PRGPACK.BDP,0x3f7c4,Nhận %d vũ khí,tavern,repeat block 3
PRGPACK.BDP,0x3f7e4,Hết chỗ chứa,tavern,repeat block 3
PRGPACK.BDP,0x3f800,Bỏ thẻ thừa,tavern,repeat block 3
PRGPACK.BDP,0x3f84c,Vũ khí,tavern,repeat block 3
PRGPACK.BDP,0x3f85c,Chưa có,tavern,repeat block 3
PRGPACK.BDP,0x3f870,Nhận %d,tavern,repeat block 3
PRGPACK.BDP,0x3f884,Vũ khí,tavern,repeat block 3
PRGPACK.BDP,0x3f894,"Bỏ %s,",tavern,repeat block 3
PRGPACK.BDP,0x3f8a8,Nhận %s,tavern,repeat block 3
PRGPACK.BDP,0x3f8c0,Nhận %s rồi,tavern,repeat block 3
PRGPACK.BDP,0x3f8d8,Bỏ!,tavern,repeat block 3
PRGPACK.BDP,0x4d278,Quán!,tavern,repeat block 4
PRGPACK.BDP,0x4d288,Đang chán quá,tavern,repeat block 4
