file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
SLPS_020.75,0x3394,「%s」を手に入れたよ,Đã nhận được “%s”.,Nhận %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
SLPS_020.75,0x33ac,手持ちのイベントカードがいっぱいで,Số Thẻ Sự kiện đang mang đã đầy nên...,Thẻ SK đã đầy,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
SLPS_020.75,0x33d0,もう持ち切れないよ,...không thể mang thêm được nữa.,Hết chỗ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
SLPS_020.75,0x33e4,どれを捨てる？,Bạn muốn bỏ lá nào?,Bỏ gì?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt chọn thẻ"
SLPS_020.75,0x33f4,「%s」を捨てて,Hãy bỏ “%s”...,Bỏ %s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
SLPS_020.75,0x3758,あいての体力,HP của đối thủ,HPđịch,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn trạng thái chiến đấu"
SLPS_020.75,0x37bc,本当にやめるの？,Bạn thật sự muốn dừng lại à?,Dừng?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt xác nhận"
SLPS_020.75,0x37d0,お金が足りないけど,Không đủ tiền, nhưng...,Thiếu $,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
SLPS_020.75,0x37e4,何か売っちゃう ？,Bạn có muốn bán thứ gì đó không?,Bán gì?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt bán tài sản"
SLPS_020.75,0x380c,総資産を見たけど ,Tôi đã xem tổng tài sản rồi, nhưng...,tổng TS,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
SLPS_020.75,0x3820,これじゃたりないわよ,Chừng này vẫn chưa đủ đâu.,Chưa đủ,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo thiếu tài sản"
SLPS_020.75,0x3838,まだお金が足りないけど,Vẫn chưa đủ tiền, nhưng...,Thiếu tiền,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
SLPS_020.75,0x3850,総資産を見たけど,Tôi đã xem tổng tài sản rồi, nhưng...,tổng TS,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu lặp"
SLPS_020.75,0x3864,も～何やってるの？,Trời ơi, bạn đang làm gì vậy?,Làm gì?,SOURCE_FULL_TRANSLATED_ONLY,"Giọng thúc giục"
SLPS_020.75,0x3878,早く決めてよね！！,Quyết định nhanh lên nhé!!,Nhanh!!,SOURCE_FULL_TRANSLATED_ONLY,"Giọng thúc giục"
SLPS_020.75,0x388c,もうっ！,Thiệt tình!,Ôi!,SOURCE_FULL_TRANSLATED_ONLY,"Thán từ bực mình nhẹ"
SLPS_020.75,0x3898,早く決めてってばぁ～,Đã bảo quyết định nhanh lên mà～,Nhanh!,SOURCE_FULL_TRANSLATED_ONLY,"Giọng kéo dài thúc giục"
SLPS_020.75,0x7679c,氷の弓,Cung Băng,Ice,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
SLPS_020.75,0x767a4,丸薬,Hoàn Dược,T.,SOURCE_FULL_TRANSLATED_ONLY,"Tên vật phẩm"
SLPS_020.75,0x767ac,ダーツ,Phi Tiêu,Phi,SOURCE_FULL_TRANSLATED_ONLY,"Darts"
SLPS_020.75,0x767b4,如意棒,Như Ý Bổng,Gậy,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí của Tôn Ngộ Không"
SLPS_020.75,0x767c4,クナイ,Kunai,Kun,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
SLPS_020.75,0x767cc,野太刀,Nodachi,Đao,SOURCE_FULL_TRANSLATED_ONLY,"Tên loại đại đao Nhật"
SLPS_020.75,0x767d4,メイス,Chùy,Búa,SOURCE_FULL_TRANSLATED_ONLY,"Mace"
SLPS_020.75,0x767e0,支援系,Hệ Hỗ Trợ,Trợ,SOURCE_FULL_TRANSLATED_ONLY,"Phân loại"
SLPS_020.75,0x767e8,回復系,Hệ Hồi Phục,Hồi,SOURCE_FULL_TRANSLATED_ONLY,"Phân loại"
SLPS_020.75,0x767f0,無属性,Vô Thuộc Tính,Vô,SOURCE_FULL_TRANSLATED_ONLY,"Phân loại thuộc tính"
SLPS_020.75,0x767fc,投射,Vũ Khí Phóng,Xa,SOURCE_FULL_TRANSLATED_ONLY,"Phân loại tấn công phóng/ném"
SLPS_020.75,0x76804,魔法,Phép Thuật,Ma,SOURCE_FULL_TRANSLATED_ONLY,"Phân loại"
SLPS_020.75,0x7681c,ダンテ,Dante,Dte,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
SLPS_020.75,0x76824,孫悟空,Tôn Ngộ Không,Ngộ,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật thần thoại"
SLPS_020.75,0x7682c,ハヤテ,Hayate,Hyt,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
