japanese,vi_accented,file_scope,note
所得税マス,Ô thuế,AUTO,Batch 11 dynamic literal
土地税マス,Ô thuế đất,AUTO,Batch 11 dynamic literal
聖地マス,Ô Thánh địa,AUTO,Batch 11 dynamic literal
戦闘マス,Ô chiến,AUTO,Batch 11 dynamic literal
分岐マス,Ngã rẽ,AUTO,Batch 11 dynamic literal
プール金,Quân quỹ,AUTO,Batch 11 dynamic literal
シンボル,Tượng,AUTO,Batch 11 dynamic literal
ルート,Lộ,AUTO,Batch 11 dynamic literal
ライバル,Địch thủ,AUTO,Batch 11 dynamic literal
領地,Lãnh địa,AUTO,Batch 11 dynamic literal
修道会,Tu viện,AUTO,Batch 11 dynamic literal
神さま,Thần linh,AUTO,Batch 11 dynamic literal
氷の女神,Nữ thần băng,AUTO,Batch 11 dynamic literal
時の神,Thần Thời,AUTO,Batch 11 dynamic literal
運の神,Thần Vận,AUTO,Batch 11 dynamic literal
