file,offset_hex,japanese,vi_full,vi_game_current,status,note
SLPS_020.75,0x2d40,３マス進めるよ,Bạn có thể tiến 3 ô.,TIEN 3 O,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2d50,「３進む」,“Tiến 3 Ô”,「TIEN3」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2d5c,２マス進めるよ,Bạn có thể tiến 2 ô.,TIEN 2 O,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2d6c,「２進む」,“Tiến 2 Ô”,「TIEN2」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2d78,１マス進めるよ,Bạn có thể tiến 1 ô.,TIEN 1 O,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2d88,使うとダイスをふるかわりに,"Khi dùng, thay vì gieo xúc xắc...",THAY XUCXAC,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2da4,「１進む」,“Tiến 1 Ô”,「TIEN1」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2db0,ダイスの数が４つになるよ,Bạn sẽ có 4 xúc xắc.,XUCXAC X4,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2dcc,超特急ーーー！,Siêu tốcーーー!,SIEUTOC!,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2ddc,「ダイス４つ」,“4 Xúc Xắc”,「4 XUCXAC」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2dec,ダイスの数が３つになるよ,Bạn sẽ có 3 xúc xắc.,XUCXAC X3,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2e08,スピードアップ！,Tăng tốc!,TANGTOC!,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2e1c,「ダイス３つ」,“3 Xúc Xắc”,「3 XUCXAC」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2e2c,まわりの通行税が３０％下がるよ！,Phí qua đường xung quanh giảm 30%!,PHI GIAM30%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2e50,死神のシンボルを建てると、,"Khi dựng biểu tượng Tử Thần,...",XAY TU THAN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2e84,１０％、まわりの通行税ダウン！,Phí qua đường xung quanh giảm 10%!,PHI GIAM10%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2ea4,沼のシンボルを建てれば、,"Nếu dựng biểu tượng Đầm Lầy,...",XAY DAM LAY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2edc,まわりの通行税が２倍になるよ！,Phí qua đường xung quanh tăng gấp đôi!,PHI X2,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2efc,サーカスのシンボルを建てると、,"Khi dựng biểu tượng Rạp Xiếc,...",XAY XIEC,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2f38,まわりの通行税が３倍になるよ！,Phí qua đường xung quanh tăng gấp ba!,PHI X3,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2f58,大聖堂のシンボルを建てると、,"Khi dựng biểu tượng Đại Thánh Đường,...",XAY THDUONG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2f90,まわりの通行税が７０％上がるよ！,Phí qua đường xung quanh tăng 70%!,PHI TANG70%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2fb4,庭園のシンボルを建てると、,"Khi dựng biểu tượng Vườn,...",XAY VUON,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2fe8,まわりの通行税が５０％上がるよ！,Phí qua đường xung quanh tăng 50%!,PHI TANG50%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x300c,女神のシンボルを建てると、,"Khi dựng biểu tượng Nữ Thần,...",XAY NU THAN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3040,まわりの通行税が３０％上がるよ！,Phí qua đường xung quanh tăng 30%!,PHI TANG30%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3064,温泉のシンボルを建てると、,"Khi dựng biểu tượng Suối Nước Nóng,...",XAY SUOI,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3098,まわりの通行税が５０％下がるよ！,Phí qua đường xung quanh giảm 50%!,PHI GIAM50%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x30bc,はかばのシンボルを建てると、,"Khi dựng biểu tượng Nghĩa Địa,...",XAY NGHIA,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x30f4,まわりの通行税が７０％下がるよ！,Phí qua đường xung quanh giảm 70%!,PHI GIAM70%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3118,塔のシンボルを建てると、,"Khi dựng biểu tượng Tháp,...",XAY THAP,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3150,まわりの通行税が９０％下がるよ！,Phí qua đường xung quanh giảm 90%!,PHI GIAM90%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3174,邪神のシンボルを建てると、,"Khi dựng biểu tượng Tà Thần,...",XAY TA THAN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x31a8,邪魔なシンボルを壊せるよ！,Bạn có thể phá một biểu tượng cản đường!,PHA BIEUTUONG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x31c4,このカードを使うと、,"Khi dùng lá bài này,...",DUNG THE NAY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
