file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0xbf2e0,"バトルカード","Thẻ chiến đấu","Thẻ",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddd1c,"使えないよ","Không dùng được đâu","Không",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddd28,"同じデータだから、対戦には","Vì là cùng một dữ liệu nên khi đối chiến...","Trùng dữ liệu",SOURCE_FULL_TRANSLATED_ONLY,"Câu nguồn là mảnh câu; giữ nghĩa nối tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0xddd44,"このデータはさっきロードしたのと","Dữ liệu này giống với dữ liệu vừa tải...","Dữ liệu vừa tải",SOURCE_FULL_TRANSLATED_ONLY,"Câu nguồn là mảnh câu; giữ nghĩa nối tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0xddd90,"データを正しくロードできたよ","Đã tải dữ liệu thành công.","Đã tải dữ liệu",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdddb0,"正しく初期化できなかったわ","Không thể khởi tạo đúng cách.","Khởi tạo lỗi",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdddcc,"に設定するわよ","sẽ được đặt thành...","Đặt là",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ cấu trúc nối tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0xddddc,"コントローラ１（１－Ａ）","Tay cầm 1 (1-A)","Tay 1 (1-A)",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdddf8,"すべてのコントローラを","Tất cả tay cầm...","Mọi tay cầm",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
PRGPACK.BDP,0xdde10,"ないよ！","Không có đâu!","Ko!",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdde1c,"データをロードするわね","Tải dữ liệu nhé.","Tải dữ liệu",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdde34,"データをセーブするね","Lưu dữ liệu nhé.","Lưu game",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdde4c,"どのデータをロードするの？","Muốn tải dữ liệu nào?","Tải mục nào?",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdde68,"初期化中はメモリーカードを","Trong khi khởi tạo, thẻ nhớ...","Đang tạo thẻ",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ nghĩa nối tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0xdde84,"初期化中よ","Đang khởi tạo.","Đang",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdde90,"このままゲームをつづける？","Tiếp tục chơi như vậy chứ?","Chơi tiếp?",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddeac,"データのセーブが終わったよ","Đã lưu dữ liệu xong.","Lưu xong",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddec8,"かまわないの？","Như vậy có ổn không?","ổn chứ?",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xdded8,"まえのデータは消えちゃうけど","Dữ liệu cũ sẽ bị xóa mất đấy, nhưng...","Sẽ xóa dữ liệu",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ nghĩa nối tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0xddef8,"空き容量が必要なの","Cần có dung lượng trống.","Cần trống",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddf0c,"セーブには　２　ブロックの","Để lưu cần 2 block dung lượng...","Cần 2 block",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ thuật ngữ block của PS1; runtime compact giữ nguyên"
PRGPACK.BDP,0xddf28,"空き容量が足りないよ","Không đủ dung lượng trống.","Thiếu chỗ",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddf40,"コンティニューデータがないわよ","Không có dữ liệu Continue.","Không có save",SOURCE_FULL_TRANSLATED_ONLY,"Giữ thuật ngữ Continue theo giao diện game; runtime compact giữ nguyên"
PRGPACK.BDP,0xddf60,"ガイアマスターの","của Gaia Master...","Gaia",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ tên game; runtime compact giữ nguyên"
PRGPACK.BDP,0xddf74,"このメモリーカードには","Trong thẻ nhớ này...","Thẻ này có",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
PRGPACK.BDP,0xddf8c,"メモリーカードを","Thẻ nhớ...","Thẻ nhớ",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
PRGPACK.BDP,0xddfa0,"メモリーカードのチェック中よ","Đang kiểm tra thẻ nhớ.","Đang kiểm thẻ",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddfc0,"セーブ中はメモリーカードを","Trong khi lưu, thẻ nhớ...","Đang lưu, thẻ",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
PRGPACK.BDP,0xddfdc,"データのセーブ中よ","Đang lưu dữ liệu.","Đang lưu",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xddff0,"ぜったいにぬかないでね","Tuyệt đối đừng rút ra nhé.","Đừng rút!",SOURCE_FULL_TRANSLATED_ONLY,"Ngữ cảnh là thẻ nhớ; runtime compact giữ nguyên"
PRGPACK.BDP,0xde008,"ロード中はメモリーカードを","Trong khi tải, thẻ nhớ...","Đang tải, thẻ",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
PRGPACK.BDP,0xde024,"データのロード中よ","Đang tải dữ liệu.","Đang tải",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde038,"データを正しくセーブできなかったわ","Không thể lưu dữ liệu đúng cách.","Không lưu được",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde05c,"データを正しくロードできなかったわ","Không thể tải dữ liệu đúng cách.","Không tải được",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde080,"メモリーカードがささってないよ","Chưa cắm thẻ nhớ.","Chưa gắn thẻ",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde0a0,"はい　　　いいえ","Có      Không","Có    Không",SOURCE_FULL_TRANSLATED_ONLY,"Giữ hai lựa chọn; runtime compact giữ nguyên"
PRGPACK.BDP,0xde0b8,"ないよ！初期化する？","Chưa khởi tạo! Khởi tạo chứ?","Chưa! Tạo?",SOURCE_FULL_TRANSLATED_ONLY,"Ngữ cảnh nối từ câu trước về thẻ nhớ; runtime compact giữ nguyên"
PRGPACK.BDP,0xde0d0,"このメモリーカードは初期化されて","Thẻ nhớ này chưa được khởi tạo...","Thẻ chưa tạo",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với dòng tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0xde0f8,"どこにセーブするの？","Muốn lưu vào đâu?","Lưu ở đâu?",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde230,"ガイアマスター　セーブデータ","Dữ liệu lưu Gaia Master","Gaia save",SOURCE_FULL_TRANSLATED_ONLY,"Giữ tên game; runtime compact giữ nguyên"
PRGPACK.BDP,0xde278,"いちかばちか","Liều một phen","Liều!",SOURCE_FULL_TRANSLATED_ONLY,"Tên/thông điệp ngắn; runtime compact giữ nguyên"
PRGPACK.BDP,0xde294,"みがわり","Thế thân","Thế",SOURCE_FULL_TRANSLATED_ONLY,"Tên kỹ năng/vật phẩm; runtime compact giữ nguyên"
PRGPACK.BDP,0xde2a0,"アガート新武器","Vũ khí mới của Agate","VK Agat",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde2b0,"メグメグ新武器","Vũ khí mới của Megumegu","VK Megu",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde2c0,"ティアラ新武器","Vũ khí mới của Tiara","VK Tiar",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde2d0,"ゴクウ新武器","Vũ khí mới của Ngộ Không","VK Gok",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde2e0,"ダンテ新武器","Vũ khí mới của Dante","VK Dan",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde2f0,"ハヤテ新武器","Vũ khí mới của Hayate","VK Hay",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde300,"ヤスツナ新武器","Vũ khí mới của Yasutsuna","VK Yasu",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde310,"ゴライアス新武器","Vũ khí mới của Goliath","VK Golia",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde324,"シンバッド新武器","Vũ khí mới của Sinbad","VK Sinba",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde338,"ガラハッド新武器","Vũ khí mới của Galahad","VK Galah",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde34c,"ジガー新武器","Vũ khí mới của Jigger","VK Jig",SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde35c,"新ブラッドスピア","Giáo Máu mới","Giáo máu",SOURCE_FULL_TRANSLATED_ONLY,"Theo tên Blood Spear đang dùng trong Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde370,"新スノーストーム","Bão Tuyết mới","Bão băng",SOURCE_FULL_TRANSLATED_ONLY,"Theo Snow Storm/Bão Tuyết trong Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde384,"新せつなの剣","Kiếm Chớp Nhoáng mới","Kiếm+",SOURCE_FULL_TRANSLATED_ONLY,"Theo tên せつなの剣 đang dùng trong Translation Master; runtime compact giữ nguyên"
PRGPACK.BDP,0xde404,"メモリーカードのチェック中です。","Đang kiểm tra thẻ nhớ.","Đang kiểm thẻ nhớ",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde428,"メモリーカードをぬかないで下さい。","Vui lòng không rút thẻ nhớ.","Đừng rút thẻ nhớ.",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde450,"メモリーカードがさされていません。","Chưa cắm thẻ nhớ.","Chưa gắn thẻ nhớ.",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde478,"データのロードを行いません。","Không tải dữ liệu.","Không tải data",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde4ac,"このメモリーカードは","Thẻ nhớ này...","Thẻ nhớ này",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
PRGPACK.BDP,0xde4c8,"初期化されていません。","chưa được khởi tạo.","Chưa khởi tạo.",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối từ dòng trước; runtime compact giữ nguyên"
PRGPACK.BDP,0xde4e8,"ガイアマスターのデータがありません。","Không có dữ liệu Gaia Master.","Không có save.",SOURCE_FULL_TRANSLATED_ONLY,"Giữ tên game; runtime compact giữ nguyên"
PRGPACK.BDP,0xde510,"データのロードを行いませんでした。","Không thực hiện tải dữ liệu.","Không tải data.",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde534,"オートロード中です。","Đang tự động tải.","Đang tự tải",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde554,"データのロードにしっぱいしました。","Tải dữ liệu thất bại.","Tải dữ liệu lỗi.",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde57c,"データをロードしました。","Đã tải dữ liệu.","Đã tải dữ liệu.",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0xde5ac,"どのプレイヤーのデータを","Dữ liệu của người chơi nào...","Dữ liệu ai?",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với dòng sau; runtime compact giữ nguyên"
PRGPACK.BDP,0xde5c8,"ロードする？","muốn tải?","Tải?",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối từ dòng trước; runtime compact giữ nguyên"
PRGPACK.BDP,0xde5f8,"ロード方法をえらんでね","Hãy chọn cách tải.","Cách tải?",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên; chưa tích hợp build"
