file,offset_hex,japanese,vi_accented,field_bytes,vi_bytes,free_bytes,source,category
PRGPACK.BDP,0x434,酒場へようこそ,Chào!,14,10,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x444,ちょうどタイクツしてたんだ,Đang chán quá,26,26,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x460,わたしと一勝負してかないかい,Đấu với ta?,28,22,6,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x480,今からふるダイスの目がこのダイス,So số sắp gieo,32,28,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x4a4,より大きいかちいさいか当てるんだよ,Đoán lớn/nhỏ,34,24,10,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x4c8,最初の賞品はこいつさ,Thưởng đầu,20,20,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x4e0,なんだい、もう終わりかい,Nghỉ rồi à?,24,22,2,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x4fc,…つまんないね,...Chán,14,14,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x510,やるね,Hay,6,6,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x518,もう勝負は終わりだよ,Đấu xong,20,16,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x540,もう一勝負してくかい？,Đấu nữa?,22,16,6,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x558,つぎの賞品はこいつだよ,Thưởng tiếp,22,22,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x570,%d枚の武器カードが手に入ったよ,Nhận %d thẻ VK,30,26,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x590,でももう持ち切れないみたい,Hết chỗ rồi,26,22,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x5ac,いらないカードを捨ててね,Bỏ thẻ thừa,24,22,2,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x5f8,武器カードは,Thẻ VK,12,12,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x608,手に入らなかったよ,Không có,18,16,2,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x61c,%d枚、手に入れたよ,Có %d thẻ,18,16,2,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x630,武器カードを,Thẻ VK,12,12,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x640,「%s」を捨てて、,"Bỏ %s,",16,10,6,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x654,「%s」を手に入れたよ,Nhận %s,20,12,8,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x66c,「%s」を手に入れたけど,"Có %s, nhưng",22,22,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x684,捨てたよ,Bỏ!,8,6,2,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x304a8,セリフ速度,Tốc,10,6,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x304b4,セリフ表示,Thoại,10,10,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x304c0,ボイス,âm,6,4,2,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x304c8,アニメーション,H.ảnh,14,10,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x304d8,終了ターン,Hết,10,6,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x304e4,プレイヤー設定,Cài đặt,14,14,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x304f4,しんどう設定,Rung,12,8,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x30504,１　（速い）,1Nhanh,12,12,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x30514,２　（ふつう）,2 Vừa,14,10,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x30600,   終了ターン,Hết,13,6,7,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x30658,○ボタンをおしてね,Nhấn O,18,12,6,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x3066c,%sはコントローラ%sだよ！,%s tay %s,24,14,10,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x31f64,酒場へようこそ,Chào!,14,10,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x31f74,ちょうどタイクツしてたんだ,Đang chán quá,26,26,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x31f90,わたしと一勝負してかないかい,Đấu với ta?,28,22,6,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x31fb0,今からふるダイスの目がこのダイス,So số sắp gieo,32,28,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x31fd4,より大きいかちいさいか当てるんだよ,Đoán lớn/nhỏ,34,24,10,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x31ff8,最初の賞品はこいつさ,Thưởng đầu,20,20,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x32010,なんだい、もう終わりかい,Nghỉ rồi à?,24,22,2,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x3202c,…つまんないね,...Chán,14,14,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x32040,やるね,Hay,6,6,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x32048,もう勝負は終わりだよ,Đấu xong,20,16,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x32070,もう一勝負してくかい？,Đấu nữa?,22,16,6,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x32088,つぎの賞品はこいつだよ,Thưởng tiếp,22,22,0,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
PRGPACK.BDP,0x320a0,%d枚の武器カードが手に入ったよ,Nhận %d thẻ VK,30,26,4,BATCH37_NEW_EXACT_OFFSET_0.6.47.0.csv,batch40-new-exact
