file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0x530,なかなかやるね,Khá lắm đấy!,Khá lắm,SOURCE_FULL_TRANSLATED_ONLY,"Batch19 exact lock; tavern praise line"
PRGPACK.BDP,0x32060,なかなかやるね,Khá lắm đấy!,Khá lắm,SOURCE_FULL_TRANSLATED_ONLY,"Batch19 exact lock; repeated tavern praise line"
PRGPACK.BDP,0x3f784,なかなかやるね,Khá lắm đấy!,Khá lắm,SOURCE_FULL_TRANSLATED_ONLY,"Batch19 exact lock; repeated tavern praise line"
PRGPACK.BDP,0x4d374,なかなかやるね,Khá lắm đấy!,Khá lắm,SOURCE_FULL_TRANSLATED_ONLY,"Batch19 exact lock; repeated tavern praise line"
PRGPACK.BDP,0x5b048,なかなかやるね,Khá lắm đấy!,Khá lắm,SOURCE_FULL_TRANSLATED_ONLY,"Batch19 exact lock; repeated tavern praise line"
PRGPACK.BDP,0x674b8,「%s」と,“%s” và...,%s và,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
PRGPACK.BDP,0x674c4,「%s」を,“%s”...,%s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu với trợ từ を; giữ token %s"
PRGPACK.BDP,0x6762c,体力が完全回復したよ,HP đã hồi phục hoàn toàn.,HP hồi đầy,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo hồi đầy HP"
PRGPACK.BDP,0x67a58,すると体力を回復して,Khi đó sẽ hồi HP và...,sẽ hồi HP,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nguồn bị tách"
PRGPACK.BDP,0x67ab0,やめる,Hủy,Hủy,SOURCE_FULL_TRANSLATED_ONLY,"Lệnh hủy/dừng"
PRGPACK.BDP,0x67f94,「%s」を捨てて,Hãy bỏ “%s”.,Bỏ %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
PRGPACK.BDP,0x67fbc,「%s」を,“%s”...,%s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu với trợ từ を; giữ token %s"
PRGPACK.BDP,0x68728,ダイスの数が４コになるよ！！,Số xúc xắc sẽ tăng thành 4!!,Có 4 xúc xắc!!,SOURCE_FULL_TRANSLATED_ONLY,"Giữ số lượng 4"
PRGPACK.BDP,0x688d8,かぅぁ～もぉ～ん,Nào～!,Come on!,SOURCE_FULL_TRANSLATED_ONLY,"Câu cảm thán kéo dài; historical vi_full từng dùng Come on!"
PRGPACK.BDP,0x68b2c,%sは,Còn %s thì...,%s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
PRGPACK.BDP,0x68bec,ふっ,Hừ.,Hừ,SOURCE_FULL_TRANSLATED_ONLY,"Thán từ nhân vật"
PRGPACK.BDP,0x68d34,の２０％をしは,...phải trả 20% của...,trả 20%,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu bị cắt giữa 支払います; không tự ghép phần thiếu"
PRGPACK.BDP,0x68db0,ます,...sẽ.,sẽ,SOURCE_FULL_TRANSLATED_ONLY,"Đuôi câu lịch sự bị tách thành field riêng; giữ dạng mảnh"
SLPS_020.75,0x2c94,「カード交換」,“Đổi Thẻ”,Đổi thẻ,SOURCE_FULL_TRANSLATED_ONLY,"Batch19 exact lock; tên card/event"
SLPS_020.75,0x3404,「%s」をあきらめたよ,Đã từ bỏ “%s”.,Từ bỏ %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
SLPS_020.75,0x378c,キャンセル,Hủy,Hủy,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn Cancel"
