offset_hex,vi_accented
0xc00b4,Thần chiến
0xc00d0,Người=cờ
0xc00e4,Thếgiới=bàncờ
0xc0100,Ko chống
0xc0118,Lực thần
0xc0130,Đất ảo
0xc0144,Vua tu sĩ
0xc0158,Luật Gaia
0xc0178,Giờ thế giới
0xc0194,Tan nát hết
0xc01b0,Hôm nay
0xc01c0,Luật người
0xc01dc,Đến lúc!
0xc01f0,Thời Gaia Master
0xc0218,Lực địa loạn
0xc0234,100 năm mệnh
0xc0258,Đất ảo trời
0xc0274,Che cả trời
0xc028c,Thế giới mất chủ
0xbfc20,Tải dữ liệu VK?
0xbfc44,Tải mới kỹ năng
0xbfc64,Nếu không tải
0xbfc84,Dùng dữ liệu cũ
0xbfca8,Kỹ năng LV1
0xbfccc,Cẩn thận khi lưu
0xbfd48,/VCOM%d chọn NV
0xbfd80,Nhân vật này?
0xbfda0,Xác nhận?
0xbfe64,Tay cầm
0xbfc04,Có      ko
0xbfe00,Có   ko
