master_part,file,offset_hex,japanese,vi_full,field_bytes,vi_bytes,free_bytes,action,note
TRANSLATION_MASTER_0.6_part02.csv,PRGPACK.BDP,0x674c4,「%s」を,“%s”…,8,8,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part02.csv,PRGPACK.BDP,0x67ab0,やめる,Hủy,6,6,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part03.csv,PRGPACK.BDP,0x67d8c,/V%sさん/v,/V%s/v,10,6,4,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part03.csv,PRGPACK.BDP,0x67f94,「%s」を捨てて,Bỏ “%s”.,14,14,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part03.csv,PRGPACK.BDP,0x68bfc,ぐぬぅ～,Gừừ～,8,8,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part03.csv,PRGPACK.BDP,0x68db0,ます,…,4,2,2,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part04.csv,SLPS_020.75,0x94c,ＧＯマス,Ô GO,8,8,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part04.csv,SLPS_020.75,0xdf8,「%s」を捨てて,Bỏ “%s”.,14,14,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part04.csv,SLPS_020.75,0x117c,クロスボウ,Nỏ,10,4,6,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part04.csv,SLPS_020.75,0x11e0,ハンマー,Búa,8,6,2,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part04.csv,SLPS_020.75,0x1768,ＨＰを３０回復する,Hồi 30 HP,18,18,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part05.csv,SLPS_020.75,0x17b0,ファイアボール,Cầu Lửa,14,14,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part05.csv,SLPS_020.75,0x17f0,エストック,Estoc,10,10,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part06.csv,SLPS_020.75,0x33f4,「%s」を捨てて,Bỏ “%s”.,14,14,0,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part06.csv,SLPS_020.75,0x378c,キャンセル,Hủy,10,6,4,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
TRANSLATION_MASTER_0.6_part06.csv,SLPS_020.75,0x3864,も～何やってるの？,Trời ơi,18,14,4,EXPORT,Batch 19 direct vi_full exact-offset lock; historical 0.6.14.1 keys excluded
