file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0x68cf8,たまったお金が,Số tiền đã tích lũy...,Quỹ gom,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ nguyên ranh giới nguồn"
PRGPACK.BDP,0x68d08,大不幸、不幸で,Khi gặp Đại Bất Hạnh hoặc Bất Hạnh...,Do xui,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68d18,所得税、土地税,Thuế thu nhập, thuế đất,TN/TĐ,SOURCE_FULL_TRANSLATED_ONLY,"Tên hai loại thuế"
PRGPACK.BDP,0x68d28,らいます,...sẽ nhận được.,nhận,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu bị cắt đầu trong nguồn; không tự bổ sung phần thiếu"
PRGPACK.BDP,0x68d44,止まると所持金,Khi dừng lại, số tiền đang có...,Tiền có,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68d54,としてしはらい,...sẽ được trả dưới dạng...,trả,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68d64,の２０％を税金,...20% sẽ được tính làm thuế.,Thuế20%,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ tỷ lệ 20%"
PRGPACK.BDP,0x68d74,止まると土地代,Khi dừng lại, giá đất...,Đất,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68d84,わります,...sẽ thay đổi.,đổi,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu bị cắt đầu"
PRGPACK.BDP,0x68d90,ルートが切りか,Tuyến đường sẽ được chuyển...,Đổi,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu bị cắt cuối"
PRGPACK.BDP,0x68da0,１ターンごとに,Mỗi lượt...,Mỗi lần,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68db8,を切りかえられ,...có thể chuyển đổi...,Đổi,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68dc8,止まるとルート,Khi dừng lại, tuyến đường...,Dừng:lộ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68dd8,が手に入ります,...sẽ nhận được.,sẽ nhận,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
PRGPACK.BDP,0x68de8,てば武器カード,...nếu thắng, Thẻ Vũ khí...,thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; phần てば nối với 勝 ở field kế cận"
PRGPACK.BDP,0x68df8,ームができ、勝,...có thể chơi mini-game, và nếu thắng...,Thắng,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối ミニゲ + ーム"
PRGPACK.BDP,0x68e08,止まるとミニゲ,Khi dừng lại, có thể chơi mini-game...,Mini,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối sang field kế cận"
PRGPACK.BDP,0x68e38,通過するとお金,Khi đi qua, bạn sẽ nhận tiền...,Qua +$,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x68e4c,もらえます,...sẽ nhận được.,Nhận,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
PRGPACK.BDP,0x68e58,トカードが１枚,...một Thẻ Sự kiện...,1 thẻ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối イベン + トカード"
