japanese,vi_fantasy
酒場へようこそ,Chào mừng đến quán rượu
ちょうどタイクツしてたんだ,Ta đang chán đúng lúc
わたしと一勝負してかないかい,Đấu với ta một ván nhé?
今からふるダイスの目がこのダイス,Xúc xắc sắp gieo là
より大きいかちいさいか当てるんだよ,Đoán lớn hơn hay nhỏ hơn
最初の賞品はこいつさ,Đây là thưởng đầu
なんだい、もう終わりかい,"Sao, nghỉ rồi à?"
…つまんないね,...Chán thật
もう勝負は終わりだよ,Ván đấu kết thúc rồi
もう一勝負してくかい？,Đấu thêm một ván?
つぎの賞品はこいつだよ,Thưởng tiếp theo đây
%d枚の武器カードが手に入ったよ,Nhận %d thẻ VK
でももう持ち切れないみたい,Có vẻ hết chỗ mang
いらないカードを捨ててね,Bỏ thẻ không cần đi
手に入らなかったよ,Không nhận được
%d枚、手に入れたよ,Nhận được %d thẻ
「%s」を捨てて、,"Bỏ %s,"
「%s」を手に入れたよ,Nhận %s
「%s」を手に入れたけど,"Đã nhận %s, nhưng..."
捨てたよ,Đã bỏ
セリフ速度,Tốc độ thoại
セリフ表示,Hiển thị thoại
ボイス,Giọng nói
アニメーション,Hoạt ảnh
プレイヤー設定,Cài đặt người chơi
しんどう設定,Cài đặt rung
１　（速い）,1 (Nhanh)
２　（ふつう）,2 (Bình thường)
○ボタンをおしてね,Nhấn O
%sはコントローラ%sだよ！,%s dùng tay cầm %s!
この設定でいいかしら？,Thiết lập này ổn chứ?
キャラクターをえらんでね,Chọn nhân vật nhé
○ボタンをおしてね！,Nhấn O!
ゲームをはじめるよ,Bắt đầu game!
データがないわよ,Không có dữ liệu
ＳＬＯＴをえらんでね,Chọn SLOT
%dゼニーあげるね,Tặng %d Zenny
体力が５０回復したよ！,Hồi 50HP!
%sに止まったよ,Dừng ở %s
%sの土地に,Đất %s
止まっちゃったよ,Đã dừng!
土地をかけて戦うことができるよ,Có thể đấu giành đất
武器カードが手に入るわ,Nhận VK
所持金の２０％とられるよ,Mất20% tiền
土地代の２０％とられるよ,Mất 20% giá đất
%sは一回休みよ！,%s nghỉ 1 lượt!
%sの番よ！,Lượt %s!
戦いをしかけるよね？,Khiêu chiến nhé?
これでいい？,Thế này được?
はい　　いいえ,Có / Không
使用するカードをえらんでね,Chọn thẻ để dùng
「%s」を使うね,Dùng %s
サンダー,Sấm Sét
ハリケーン,Bão Tố
クロスボウ,Nỏ
ロングソード,Trường Kiếm
ハンマー,Búa
運がよければ敵を倒せるかも,May ra hạ được địch
特殊　速度６　使い捨て,"Đặc biệt, tốc độ 6, dùng 1 lần"
いちかばちか,Liều một phen
あいてのカード一枚を破壊する,Phá 1 thẻ đối thủ
ポリタンがみがわりに！？,Politan thế mạng!?
