file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0x143090,"%sにとばされちゃう！","Sẽ bị dịch chuyển tới %s!","%s bị dịch!",SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s; runtime compact giữ nguyên; chưa tích hợp build"
PRGPACK.BDP,0x1430a8,"「ワープ」","Dịch chuyển","Dịch",SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng; runtime compact giữ nguyên"
PRGPACK.BDP,0x1430b4,"持ち主がいなかったら購入できるよ","Nếu chưa có chủ thì có thể mua.","Vô chủ: mua được",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x143360,"ふつうよね","Bình thường thôi nhỉ.","Bình",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x14336c,"止まるか、あいてにかさなるのが","Dừng lại hoặc chồng lên vị trí đối thủ là...","Dừng trùng địch",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu hướng dẫn; giữ nghĩa nối tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0x14338c,"戦闘をしたかったら、戦闘マスに","Nếu muốn chiến đấu, hãy tới ô chiến đấu...","Muốn đấu: ô đấu",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu hướng dẫn; giữ nghĩa nối tiếp; runtime compact giữ nguyên"
PRGPACK.BDP,0x1433ac,"マスはあなたのもの！","Ô đó sẽ là của bạn!","Ô của bạn!",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x1433c4,"あいてに勝てたら","Nếu thắng đối thủ...","Thắng!",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với dòng sau; runtime compact giữ nguyên"
PRGPACK.BDP,0x1433d8,"戦闘でマスをうばうの！","Hãy cướp ô bằng chiến đấu!","Cướp ô đấu",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x1433f0,"うまく使えば一発ギャクテンよ！！","Dùng khéo là có thể lật ngược thế cờ ngay!!","Khéo là lật thế!",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x143414,"カードを忘れないでね","Đừng quên dùng thẻ nhé.","Nhớ thẻ!",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x14342c,"お金がもらえるわ！","Bạn sẽ nhận được tiền!","Có tiền!",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x143440,"ＧＯマスを通れば、カードと","Khi đi qua ô GO, bạn sẽ nhận thẻ và...","Qua GO: thẻ +",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ GO theo giao diện game; runtime compact giữ nguyên"
PRGPACK.BDP,0x14345c,"とくてんもオイシイよ！","còn được thưởng thêm nữa!","có thưởng!",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối từ dòng trước; runtime compact giữ nguyên"
PRGPACK.BDP,0x143474,"マスの通行税も上がるし、","Phí qua đường của ô cũng tăng, và...","Phí ô tăng,",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
PRGPACK.BDP,0x143490,"お店を建ててみたら？","Thử xây cửa hàng xem?","Xây shop?",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x1434ac,"くれれば、通行税をもらえるわ！","thì bạn sẽ nhận được phí qua đường!","Thu được phí!",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với dòng về đối thủ dừng trên ô; runtime compact giữ nguyên"
PRGPACK.BDP,0x1434cc,"あいてが自分のマスに止まって","Khi đối thủ dừng trên ô của bạn...","Địch dừng ô ta",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với dòng sau; runtime compact giữ nguyên"
PRGPACK.BDP,0x1434ec,"とにかくマスをそろえることね","Tóm lại, hãy cố gom đủ các ô nhé.","Cứ gom đủ ô",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x14350c,"増やすのよ！","Hãy tăng nó lên!","Tăng!",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu theo ngữ cảnh tài sản; runtime compact giữ nguyên"
PRGPACK.BDP,0x14351c,"ターンまでに自分の資産を","Trước khi hết lượt, hãy tăng tài sản của mình...","Tới hạn: vốn",SOURCE_FULL_TRANSLATED_ONLY,"Nguồn là mảnh câu có thể thiếu tiền tố điều khiển/số; chưa suy diễn thêm; runtime compact giữ nguyên"
PRGPACK.BDP,0x143538,"もうかるわよ！！","Sẽ kiếm lời đấy!!","Có lời!!",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
PRGPACK.BDP,0x14354c,"そうすれば、価値が上がって","Làm vậy thì giá trị sẽ tăng, và...","Giá sẽ tăng",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; runtime compact giữ nguyên"
