master_part,file,offset_hex,japanese,field_bytes,semantic_vi,candidate_bytes,over_bytes,fit,vi_game_current
TRANSLATION_MASTER_0.6_part04.csv,SLPS_020.75,0x1208,特殊　速度６　使い捨て,22,"Đặc biệt, tốc độ 6, dùng 1 lần",60,38,NO,DB SPD6 1L
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x434,酒場へようこそ,14,Chào mừng đến quán rượu,46,32,NO,QUAN!
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x31f64,酒場へようこそ,14,Chào mừng đến quán rượu,46,32,NO,QUAN!
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x3f688,酒場へようこそ,14,Chào mừng đến quán rượu,46,32,NO,QUAN!
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x4d278,酒場へようこそ,14,Chào mừng đến quán rượu,46,32,NO,QUAN!
TRANSLATION_MASTER_0.6_part02.csv,PRGPACK.BDP,0x5af4c,酒場へようこそ,14,Chào mừng đến quán rượu,46,32,NO,QUAN!
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x304e4,プレイヤー設定,14,Cài đặt người chơi,36,22,NO,CAIDAT
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x518,もう勝負は終わりだよ,20,Ván đấu kết thúc rồi,40,20,NO,DAU XONG
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x32048,もう勝負は終わりだよ,20,Ván đấu kết thúc rồi,40,20,NO,DAU XONG
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x3f76c,もう勝負は終わりだよ,20,Ván đấu kết thúc rồi,40,20,NO,DAU XONG
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x4d35c,もう勝負は終わりだよ,20,Ván đấu kết thúc rồi,40,20,NO,DAU XONG
TRANSLATION_MASTER_0.6_part02.csv,PRGPACK.BDP,0x5b030,もう勝負は終わりだよ,20,Ván đấu kết thúc rồi,40,20,NO,DAU XONG
TRANSLATION_MASTER_0.6_part04.csv,PRGPACK.BDP,0xbfbec,この設定でいいかしら？,22,Thiết lập này ổn chứ?,42,20,NO,XAC NHAN?
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x460,わたしと一勝負してかないかい,28,Đấu với ta một ván nhé?,46,18,NO,DAU TOI 1 VAN?
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x558,つぎの賞品はこいつだよ,22,Thưởng tiếp theo đây,40,18,NO,THUONG TIEP
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x304b4,セリフ表示,10,Hiển thị thoại,28,18,NO,THOAI
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x31f90,わたしと一勝負してかないかい,28,Đấu với ta một ván nhé?,46,18,NO,DAU TOI 1 VAN?
