japanese,vi_full,vi_runtime_historical,status,note
同じマスに止まってる人のお金を,Tiền của người đang đứng cùng ô...,Lấy vàng người cùng ô,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
ほかの人と同じマスに止まったよ,Bạn đã dừng cùng ô với người khác.,Dừng cùng ô người khác,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
シンボルを一つ壊せるよ,Có thể phá một Biểu tượng.,Phá 1 thần tượng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
土地を１つもらえるよ！！,Bạn sẽ nhận được một mảnh đất!!,Nhận 1 lãnh địa!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reward"
もらえるお金が倍になるよ！！,Số tiền nhận được sẽ tăng gấp đôi!!,Vàng nhận x2!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reward/effect"
そんな土地ないじゃない,Làm gì có mảnh đất như vậy.,Không có lãnh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
あっなんか,"Ơ, hình như...","Ơ, xem ra",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
多くもらっちゃった,...nhận được nhiều hơn rồi.,Nhận thêm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
お金が 持ち切れないみたい,Có vẻ không thể mang hết số tiền này.,Túi vàng đã đầy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
聖地に 預けておいたから,Phần dư đã được gửi ở Thánh Địa rồi.,Đã gửi Thánh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
聖地で 引き落としてね,Hãy rút ở Thánh Địa nhé.,Rút tại Thánh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
勝利者,Người Chiến Thắng,Kẻ thắng trận,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Result label"
退け,Lùi ra!,Lui!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
小賢しい,Khôn lỏi.,Xảo trá,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character insult"
大不幸,Đại Bất Hạnh,Đại bất hạnh,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
大幸運,Đại May Mắn,Đại vận may,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
魔王のきょうふ,Nỗi Khiếp Sợ Ma Vương,Ma uy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
魔王の気まぐれ,Sự Thất Thường của Ma Vương,Ma vương biến ý,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
魔王のゆうわく,Cám Dỗ của Ma Vương,Ma vương mê hoặc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
時の神のいたず,Trò nghịch của Thần Thời Gian...,Thần Thời,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Nguồn bị cắt cuối; không tự bổ sung ký tự thiếu"
運の神の休息,Sự Nghỉ Ngơi của Thần May Mắn,Thần Vận nghỉ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
