legacy_fallback,vi_fantasy
TA CHOI VOI NGUOI,Ta đấu với ngươi!
XINLOI %s,Thứ lỗi %s
LAY %d ZENNY,Ta lấy %d Z
HAHA PHA HUY,Ha ha! Phá hủy!
PHA CAI NAO!!,Phá thứ nào?!
BIEUTUONG NAY,Thần tượng này
HU,Hừ
DO RAC,Đồ rác
GRRR,Grr...
KHONG CO HUNG,Ta chẳng hứng
NGHIA,Nghĩa địa
NHATAM,Nhà tắm
COSO %s,Cơ sở %s
CHU %s,Chủ %s
PHI %4d,Lộ %4d
GIA %4d,Giá %4d
KHONG MUA,Không mua
LAM,Thực hiện
WARP NGAU NHIEN,Biến ngẫu
TIEN TICH LUY,Tiền tích
DO XUI,Do vận rủi
THUE TN/DAT,Thuế TN/đất
NHAN,Sẽ nhận
TRA 20%,Nộp 20%
DUNG: TIEN CO,Dừng: tiền
TRA,Nộp
20% THANH THUE,20% thành thuế
DUNG: GIA DAT,Dừng: giá đất
DOI,Đổi
DOI TUYEN,Lộ đổi
MOI 1 LUOT,Mỗi lượt
SE,Sẽ
CO THE DOI,Có thể đổi
DUNG: TUYEN,Dừng: lộ
SE NHAN,Sẽ nhận
CHOI VA THANG,Chơi và thắng
DUNG: MINI GAME,Dừng: thử thách
DAO TAC,Đạo tặc
PHAP SU,Pháp sư
HON LOAN,Đại quốc loạn
TIEU LC,Tiểu lãnh chúa
DAI LC,Đại lãnh chúa
VIEN TRO,Đại quốc viện trợ
THAN MAY,Thần Vận
SUOI,Linh tuyền
