master_part,file,offset_hex,japanese,vi_game_current,status,note
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x434,酒場へようこそ,QUAN!,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x444,ちょうどタイクツしてたんだ,DANG CHAN QUA,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x460,わたしと一勝負してかないかい,DAU TOI 1 VAN?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x480,今からふるダイスの目がこのダイス,DOAN XUC XAC NAY,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x4a4,より大きいかちいさいか当てるんだよ,LON HAY NHO HON?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x4c8,最初の賞品はこいつさ,THUONG DAU,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x4e0,なんだい、もう終わりかい,NGHI ROI?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x4fc,…つまんないね,...CHAN,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x518,もう勝負は終わりだよ,DAU XONG,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x540,もう一勝負してくかい？,DAU THEM?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x558,つぎの賞品はこいつだよ,THUONG TIEP,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x570,%d枚の武器カードが手に入ったよ,NHAN %d THE VK,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x590,でももう持ち切れないみたい,HET CHO CHUA,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x5ac,いらないカードを捨ててね,BO THE THUA,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x608,手に入らなかったよ,KO NHAN,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x61c,%d枚、手に入れたよ,NHAN %d,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x640,「%s」を捨てて、,"BO %s,",IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x654,「%s」を手に入れたよ,NHAN %s,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x66c,「%s」を手に入れたけど,NHAN %s ROI,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x684,捨てたよ,BO!,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x304a8,セリフ速度,TOC,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x304b4,セリフ表示,THOAI,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
TRANSLATION_MASTER_0.6_part01.csv,PRGPACK.BDP,0x304c0,ボイス,AM,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
