count,japanese,fallback,vi_full,field_bytes,fallback_bytes,vi_full_bytes,free_vs_fallback,reason,files,offsets
1,売却,BAN,Bán,4,6,6,-2,VI_FULL_TOO_LONG,PRGPACK.BDP,0x6796c
1,ームができ、勝,CHOI VA THANG,"có thể chơi, nếu thắng",14,26,44,-12,VI_FULL_TOO_LONG,PRGPACK.BDP,0x68df8
1,クレイモア,CLAYM,Claymore,10,10,16,0,VI_FULL_TOO_LONG,SLPS_020.75,0x18cc
1,ダンテ,DANTE,Dante,6,10,10,-4,VI_FULL_TOO_LONG,SLPS_020.75,0x7681c
1,じしん,DONGDAT,Động đất,6,14,16,-8,VI_FULL_TOO_LONG,SLPS_020.75,0x2104
1,地震,DONGDAT,Động đất,4,14,16,-10,VI_FULL_TOO_LONG,SLPS_020.75,0x2258
1,ガラハッド,GALAH,Galahad,10,10,14,0,VI_FULL_TOO_LONG,SLPS_020.75,0x2458
1,価格,GIA,Giá,4,6,6,-2,VI_FULL_TOO_LONG,PRGPACK.BDP,0x67ab8
1,価値,GIATRI,Giá trị,4,12,14,-8,VI_FULL_TOO_LONG,PRGPACK.BDP,0x67c78
1,ゴライアス,GOLIA,Goliath,10,10,14,0,VI_FULL_TOO_LONG,SLPS_020.75,0x2470
1,ハヤテ,HAYATE,Hayate,6,12,12,-6,VI_FULL_TOO_LONG,SLPS_020.75,0x7682c
1,ジガー,JIGGER,Jigger,6,12,12,-6,VI_FULL_TOO_LONG,SLPS_020.75,0x76834
1,クナイ,KUNAI,Kunai,6,10,10,-4,VI_FULL_TOO_LONG,SLPS_020.75,0x767c4
1,Ｌ/V%d（あと/V%d）,LV%d CON%d,Cấp %d (còn %d),18,16,26,2,VI_FULL_TOO_LONG,SLPS_020.75,0x195c
1,幸運,MAY,May mắn,4,6,14,-2,VI_FULL_TOO_LONG,SLPS_020.75,0x203c
1,メグメグ,MEGUMEGU,Megumegu,8,16,16,-8,VI_FULL_TOO_LONG,SLPS_020.75,0x247c
1,バンク,NGANHANG,Ngân hàng,6,16,18,-10,VI_FULL_TOO_LONG,SLPS_020.75,0x7685c
1,浴場,NHATAM,Nhà tắm,4,12,14,-8,VI_FULL_TOO_LONG,PRGPACK.BDP,0x68c38
1,レイピア,RAPIER,Rapier,8,12,12,-4,VI_FULL_TOO_LONG,SLPS_020.75,0x1838
1,落雷,SET,Sét đánh,4,6,16,-2,VI_FULL_TOO_LONG,SLPS_020.75,0x2118
1,お店,SHOP,Cửa hàng,4,8,16,-4,VI_FULL_TOO_LONG,PRGPACK.BDP,0x67ac0
1,シンバッド,SINBAD,Sinbad,10,12,12,-2,VI_FULL_TOO_LONG,SLPS_020.75,0x2494
1,温泉,SUOI,Suối nóng,4,8,18,-4,VI_FULL_TOO_LONG,SLPS_020.75,0x22a8
1,勝利者,THANG,Kẻ chiến thắng,6,10,28,-4,VI_FULL_TOO_LONG,PRGPACK.BDP,0x68a64
1,丸薬,THUOC,Thuốc viên,4,10,20,-6,VI_FULL_TOO_LONG,SLPS_020.75,0x767a4
1,基本武器,VKCB,Vũ khí cơ bản,8,8,26,0,VI_FULL_TOO_LONG,SLPS_020.75,0x1900
1,資金,VON,Vốn,4,6,6,-2,VI_FULL_TOO_LONG,PRGPACK.BDP,0x67ac8
1,庭園,VUON,Vườn,4,8,8,-4,VI_FULL_TOO_LONG,SLPS_020.75,0x22d0
1,ワープ,WARP,Dịch chuyển,6,8,22,-2,VI_FULL_TOO_LONG,SLPS_020.75,0x20a0
1,不幸,XUI,Bất hạnh,4,6,16,-2,VI_FULL_TOO_LONG,SLPS_020.75,0x2028
1,ヤスツナ,YASU,Yasutsuna,8,8,18,0,VI_FULL_TOO_LONG,SLPS_020.75,0x244c
1,「地震」,「DONGDAT」,Động đất,8,18,16,-10,VI_FULL_TOO_LONG,SLPS_020.75,0x31dc
1,/V%sさん/v,/V%s/v,%s,10,6,2,4,VI_FULL_TOKEN_MISMATCH,PRGPACK.BDP,0x67d8c
