queue_tier,japanese,best_file,best_offset_hex,best_byte_len,best_confidence,best_terminator,occurrence_count,scanner_priorities,anchors,all_exact_refs,vi_full,translation_status
REVIEW-MEDIUM,69262淘舶涛普,PRGPACK.BDP,0x1d471,12,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1d471,,SCANNER_FALSE_POSITIVE_MEDIUM_BATCH16_NUL_REVIEWED
REVIEW-MEDIUM,「%s」が/V%dレベルに！,PRGPACK.BDP,0x95604,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x95604,“%s” đã lên /V%d cấp!,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,体力が%d%s,PRGPACK.BDP,0x96290,10,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x96290,HP %d%s,NEEDS_CONTEXT_REVIEW_MEDIUM_BATCH16
REVIEW-MEDIUM,%sさん！！,PRGPACK.BDP,0x14bffc,10,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bffc,%s!!,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,%sさんよ！！,PRGPACK.BDP,0x14bfec,12,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bfec,%s!!,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,%sの勝ち！！,SLPS_020.75,0x2848,12,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x2848,%s chiến thắng!!,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,う…お…！！,PRGPACK.BDP,0x140074,12,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x140074,Ư... ồ...!!,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,「ＧＯワープ」,PRGPACK.BDP,0x142ea4,16,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x142ea4,“Dịch Chuyển GO”,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P00アガート/PF0,SLPS_020.75,0x2538,16,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x2538,/P00Agato/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P00ティアラ/PF0,SLPS_020.75,0x24fc,16,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x24fc,/P00Tiara/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
