queue_tier,japanese,best_file,best_offset_hex,best_byte_len,best_confidence,best_terminator,occurrence_count,scanner_priorities,anchors,all_exact_refs,vi_full,translation_status
HIGH-FIRST,のはひふへほ,PRGPACK.BDP,0x17616e,12,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x17616e,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,どうしよう！！,PRGPACK.BDP,0xb2484,14,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb2484,Biết làm sao đây!!,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,ＧＨＩなにぬね,PRGPACK.BDP,0x17615e,14,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x17615e,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,あっ 魔王ｶｰﾄﾞが,PRGPACK.BDP,0x68a88,15,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68a88,"Á, Thẻ Ma Vương...",TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,操られちゃった｡,PRGPACK.BDP,0x68a98,15,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68a98,đã bị điều khiển mất rồi.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,あいうえおかきく,PRGPACK.BDP,0x176126,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x176126,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,すせそたちつてと,PRGPACK.BDP,0x17614a,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x17614a,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,もらっちゃった！,PRGPACK.BDP,0xb619c,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb619c,Nhận được rồi!,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,ＫＬまみむめもや,PRGPACK.BDP,0x176180,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x176180,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,おそれがあります。,SLPS_020.75,0x39f8,18,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x39f8,có khả năng xảy ra.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,強制終了しました。,SLPS_020.75,0x39d0,18,HIGH,CTRL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x39d0,Đã buộc kết thúc.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,お金が足りないわよ｡,SLPS_020.75,0x37f8,19,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x37f8,Không đủ tiền đâu.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,本体が改造されている,SLPS_020.75,0x39e3,20,HIGH,CTRL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x39e3,Máy có dấu hiệu đã bị chỉnh sửa…,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,ＧＯマスに進んでね！,PRGPACK.BDP,0x142eb4,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x142eb4,Hãy tiến tới ô GO!,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,土地マスを無効にするよ,PRGPACK.BDP,0xbcf14,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbcf14,sẽ vô hiệu hóa ô đất.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,こんなことになるなんて…,PRGPACK.BDP,0xb24b8,24,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb24b8,Không ngờ lại thành ra thế này…,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,/Vみんなから%dゼニーづつ/v,PRGPACK.BDP,0xb6180,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb6180,/VNhận %d Zenny từ mỗi người/v,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,この後は金額が一定になるよ,PRGPACK.BDP,0xc0920,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xc0920,Sau đó số tiền sẽ giữ nguyên.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,この街はとっくに滅びてる…,PRGPACK.BDP,0x13dfcc,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x13dfcc,Thành phố này đã diệt vong từ lâu…,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,ＡＢＣあいうえおかきくけこ,PRGPACK.BDP,0xeb68c,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xeb68c,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,ＤＥＦさしすせそたちつてと,PRGPACK.BDP,0xeb6a8,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xeb6a8,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,ＧＨＩなにぬねのはひふへほ,PRGPACK.BDP,0xeb6c4,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xeb6c4,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,ＪＫＬまみむめもやゆよ,PRGPACK.BDP,0xeb6e0,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xeb6e0,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,ＭＮＯらりるれろわをん,PRGPACK.BDP,0xeb6fc,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xeb6fc,,KEEP_SYSTEM_INPUT_TABLE_BATCH10
HIGH-FIRST,勝利者の所有地になりました｡,PRGPACK.BDP,0x68a6c,27,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68a6c,Đã trở thành đất thuộc sở hữu của người chiến thắng.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,このターンのあなたの番だけ、,PRGPACK.BDP,0xbcef4,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbcef4,"Chỉ trong lượt của bạn ở turn này,",TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,でも、お店が１つもないみたい,PRGPACK.BDP,0xbacd0,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbacd0,Nhưng hình như không có cửa hàng nào.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,あまりのおそろしさに１回お休み,PRGPACK.BDP,0xba058,30,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xba058,Vì quá khiếp sợ nên nghỉ 1 lượt.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,すべての分岐マスを切りかえたよ,PRGPACK.BDP,0xbbd70,30,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbbd70,Đã đổi hướng tất cả các ô ngã rẽ.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,好きなエリアのお店を魔王が全部,PRGPACK.BDP,0xbac98,30,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbac98,Ma Vương sẽ xử lý toàn bộ cửa hàng trong khu đã chọn…,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,/V%dゼニーもなくしちゃった！！/v,PRGPACK.BDP,0xb2494,32,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb2494,/VMất luôn %d Zenny!!/v,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,○ボタン：はい　×ボタン：いいえ,SLPS_020.75,0x3798,32,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x3798,Nút ○: Có  Nút ×: Không,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,ターンごとにふえる金額を決めるの,PRGPACK.BDP,0xc093c,32,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xc093c,Chọn số tiền tăng sau mỗi lượt.,TRANSLATED_SOURCE_BATCH10
HIGH-FIRST,勝者にほうびをくれる神々なんて、,PRGPACK.BDP,0x13dfe8,32,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x13dfe8,Những vị thần ban thưởng cho người chiến thắng…,TRANSLATED_SOURCE_BATCH10
