japanese,vi_accented,note
このカードを使うと、,"Dùng thẻ này,",Batch 11 semantic/fantasy
戦闘をしかけることができるよ！,Được tỉ thí!,Batch 11 semantic/fantasy
１ターンのあいだ自分の番だけ、,"Riêng 1 lượt,",Batch 11 semantic/fantasy
を入れかえちゃう,Hoán đổi chỗ,Batch 11 semantic/fantasy
全ての分岐マスを切りかえて、,"Đổi mọi ngã rẽ,",Batch 11 semantic/fantasy
この土地を買うよ,Mua lãnh địa này,Batch 11 semantic/fantasy
かいしめ,Thâu tóm,Batch 11 semantic/fantasy
通行税%dゼニーはらってね,Nộp %d Z lộ phí,Batch 11 semantic/fantasy
武器カードをもらえるよ,Nhận 1 thẻ VK,Batch 11 semantic/fantasy
イベントカードをもらえるよ,Nhận 1 thẻ SK,Batch 11 semantic/fantasy
体力が完全回復したよ,HP hồi đầy,Batch 11 semantic/fantasy
修道会が戦いを止めてくれたよ,Tu viện ngăn chiến,Batch 11 semantic/fantasy
戦いをしかけることができるよ,Có thể tỉ thí,Batch 11 semantic/fantasy
%dゼニーもとられちゃった,Mất %d Z,Batch 11 semantic/fantasy
所得税,Thuế lợi tức,Batch 11 semantic/fantasy
お金がないから,Cạn tiền,Batch 11 semantic/fantasy
関係なかったみたい,Không ảnh hưởng,Batch 11 semantic/fantasy
土地税,Thuế đất,Batch 11 semantic/fantasy
土地を一つも持ってないから,Chưa có lãnh địa,Batch 11 semantic/fantasy
プール金取得,Nhận quân quỹ,Batch 11 semantic/fantasy
%dゼニーもらっちゃった,Nhận %d Z,Batch 11 semantic/fantasy
税金たまってないじゃない,Chưa có thuế,Batch 11 semantic/fantasy
タイミング悪すぎぃ,Vận rủi thật,Batch 11 semantic/fantasy
あーあ,Chán thật,Batch 11 semantic/fantasy
あーあぁ,Chán thật,Batch 11 semantic/fantasy
分岐マスだよ,Ô ngã rẽ,Batch 11 semantic/fantasy
ルートを切りかえる？,Đổi lộ?,Batch 11 semantic/fantasy
ルートを切りかえたよ,Đã đổi lộ,Batch 11 semantic/fantasy
このままにしとくわよ,Giữ lộ cũ,Batch 11 semantic/fantasy
そんな土地ないじゃない,Không có đất ấy,Batch 11 semantic/fantasy
%sを建てたよ,Dựng %s,Batch 11 semantic/fantasy
%dゼニーはらってね,Nộp %d Z,Batch 11 semantic/fantasy
お金たりないじゃない！,Cạn tiền!,Batch 11 semantic/fantasy
不足金額： %dゼニー,Thiếu %d Z,Batch 11 semantic/fantasy
%sさんの資産とカードが,Gia sản %s,Batch 11 semantic/fantasy
%sさんのものになるよ,Thuộc về %s,Batch 11 semantic/fantasy
次の武器カードをもらったよ,Nhận thẻ VK,Batch 11 semantic/fantasy
次のイベントカードをもらったよ,Nhận thẻ SK,Batch 11 semantic/fantasy
手持ちの武器カードがいっぱいだよ,Túi VK đầy,Batch 11 semantic/fantasy
手持ちのイベントカードがいっぱいで,Túi SK đầy,Batch 11 semantic/fantasy
なにか捨ててね,Bỏ bớt 1 thẻ,Batch 11 semantic/fantasy
あきらめたよ,Đã bỏ cuộc,Batch 11 semantic/fantasy
レベル５裏武器カード,Thẻ VK ẩn Lv5,Batch 11 semantic/fantasy
レベル５表武器カード,Thẻ VK Lv5,Batch 11 semantic/fantasy
表武器カード,Thẻ VK,Batch 11 semantic/fantasy
%sを売ったよ,Bán %s,Batch 11 semantic/fantasy
もう１回行動できるよ！！,Thêm 1 lượt!,Batch 11 semantic/fantasy
同じマスに止まってる人のお金を,Lấy vàng cùng ô,Batch 11 semantic/fantasy
はんぶん盗めるよ！！,Trộm nửa!,Batch 11 semantic/fantasy
通行税なんかふみたおしちゃえ！！,Quỵt lộ phí!,Batch 11 semantic/fantasy
シンボルを一つ壊せるよ,Phá 1 tượng,Batch 11 semantic/fantasy
ダイスの数が４コになるよ！！,4 xúc xắc!,Batch 11 semantic/fantasy
神さまからのプレゼント！！,Thần ban!,Batch 11 semantic/fantasy
土地を１つもらえるよ！！,Nhận 1 đất!,Batch 11 semantic/fantasy
もらえるお金が倍になるよ！！,Vàng x2!,Batch 11 semantic/fantasy
お店破壊なんてガードしちゃえ！！,Hộ tiệm!,Batch 11 semantic/fantasy
戦いをしかけるよ？,Tỉ thí?,Batch 11 semantic/fantasy
お金なんかふみたおしちゃえ！！,Quỵt tiền!,Batch 11 semantic/fantasy
飛ばすぜ ！！,Biến đi!,Batch 11 semantic/fantasy
なにぃ～い 通行税だと？,Lộ phí ư?,Batch 11 semantic/fantasy
何で わしが はらわにゃ ならんのだ！！,Sao ta phải nộp!,Batch 11 semantic/fantasy
かぅぁ～もぉ～ん,Nào!,Batch 11 semantic/fantasy
あっなんか,"Ơ, xem ra",Batch 11 semantic/fantasy
多くもらっちゃった,Nhận nhiều hơn,Batch 11 semantic/fantasy
お金が 持ち切れないみたい,Túi vàng đầy,Batch 11 semantic/fantasy
最大 99999までよ,Tối đa 99999,Batch 11 semantic/fantasy
聖地に 預けておいたから,Đã gửi Thánh địa,Batch 11 semantic/fantasy
聖地で 引き落としてね,Rút ở Thánh địa,Batch 11 semantic/fantasy
我が けんぞくよ,Thuộc hạ của ta,Batch 11 semantic/fantasy
退け,Lui!,Batch 11 semantic/fantasy
へへん,Hê hê,Batch 11 semantic/fantasy
我に 近付くとは,Dám lại gần ta,Batch 11 semantic/fantasy
小賢しい,Xảo trá,Batch 11 semantic/fantasy
ん？,Hử?,Batch 11 semantic/fantasy
いっちょう やってみっか,Tỉ thí nào,Batch 11 semantic/fantasy
勝利者,Kẻ thắng,Batch 11 semantic/fantasy
物件を決めたら、,"Chọn lãnh địa rồi,",Batch 11 semantic/fantasy
