file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
SLPS_020.75,0x2014,大不幸,Đại Bất Hạnh,Xui,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2028,不幸,Bất Hạnh,X.,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x203c,幸運,May Mắn,M.,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2050,大幸運,Đại May Mắn,May,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2064,盗賊の援助,Sự Trợ Giúp của Đạo Tặc,Trộm+,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2078,魔法使いの援助,Sự Trợ Giúp của Pháp Sư,Pháp sư,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x208c,ＧＯマスおくり,Đưa Đến Ô GO,Tới GO,SOURCE_FULL_TRANSLATED_ONLY,"Tên event; giữ GO"
SLPS_020.75,0x20a0,ワープ,Dịch Chuyển,DC,SOURCE_FULL_TRANSLATED_ONLY,"Warp"
SLPS_020.75,0x20b4,大国の混乱,Hỗn Loạn ở Đại Quốc,Loạn,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x20c8,領主からの使者,Sứ Giả của Lãnh Chúa,Sứ giả,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x20dc,小領主の協力,Sự Hỗ Trợ của Tiểu Lãnh Chúa,L.chúa,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x20f0,大領主の協力,Sự Hỗ Trợ của Đại Lãnh Chúa,Đại LC,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2104,じしん,Động Đất,ĐĐ,SOURCE_FULL_TRANSLATED_ONLY,"Tên event viết hiragana"
SLPS_020.75,0x2118,落雷,Sét Đánh,S.,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x212c,大国からの使者,Sứ Giả từ Đại Quốc,Sứ giả,SOURCE_FULL_TRANSLATED_ONLY,"Tên event; bản exact-offset 1"
SLPS_020.75,0x2140,大国からの使者,Sứ Giả từ Đại Quốc,Sứ giả,SOURCE_FULL_TRANSLATED_ONLY,"Tên event; bản exact-offset 2"
SLPS_020.75,0x2154,大国の援助,Viện Trợ từ Đại Quốc,Viện+,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2168,領地購入,Mua Lãnh Địa,Mua,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x217c,魔王のこうりん,Ma Vương Giáng Lâm,Ma tới,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2190,魔王しょうかん,Triệu Hồi Ma Vương,Gọi ma,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x21a4,魔王のきょうふ,Nỗi Khiếp Sợ Ma Vương,sợ Ma,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x21b8,魔王の気まぐれ,Sự Thất Thường của Ma Vương,Ma quậy,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x21cc,魔王のゆうわく,Cám Dỗ của Ma Vương,cám dỗ,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x21e0,お店破壊,Phá Hủy Cửa Hàng,Phá!,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x21f4,ルート変更,Đổi Tuyến Đường,Đổi,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2208,時の神のいたず,Trò Nghịch của Thần Thời Gian...,Thời,SOURCE_FULL_TRANSLATED_ONLY,"Nguồn bị cắt cuối; không tự thêm ら"
SLPS_020.75,0x221c,運の神の休息,Sự Nghỉ Ngơi của Thần May Mắn,May,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x2230,ふみたおし,Quỵt Phí,Quỵt,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng/event"
SLPS_020.75,0x2244,バトルカード,Thẻ Chiến Đấu,Thẻ,SOURCE_FULL_TRANSLATED_ONLY,"Tên event/card"
SLPS_020.75,0x2258,地震,Động Đất,ĐĐ,SOURCE_FULL_TRANSLATED_ONLY,"Tên event viết kanji"
SLPS_020.75,0x226c,邪神像,Tượng Tà Thần,Tà,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x2280,悪魔の塔,Tháp Ác Ma,Ma,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x2294,はかば,Nghĩa Địa,Mộ,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x22a8,温泉,Suối Nước Nóng,SN,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x22bc,女神像,Tượng Nữ Thần,Nữ,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x22d0,庭園,Khu Vườn,V.,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x22e4,大聖堂,Đại Thánh Đường,Đền,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x22f8,サーカス,Rạp Xiếc,xiếc,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x230c,呪いの沼,Đầm Lầy Nguyền Rủa,Đầm,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x2320,死神像,Tượng Tử Thần,Tử,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x2334,ダイス３つ,3 Xúc Xắc,3 xúc,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng"
SLPS_020.75,0x2348,ダイス４つ,4 Xúc Xắc,4 xúc,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng"
SLPS_020.75,0x235c,１進む,Tiến 1 Ô,+1,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng di chuyển"
SLPS_020.75,0x2370,２進む,Tiến 2 Ô,+2,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng di chuyển"
SLPS_020.75,0x2384,３進む,Tiến 3 Ô,+3,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng di chuyển"
SLPS_020.75,0x2398,４進む,Tiến 4 Ô,+4,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng di chuyển"
SLPS_020.75,0x23ac,５進む,Tiến 5 Ô,+5,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng di chuyển"
SLPS_020.75,0x23c0,６進む,Tiến 6 Ô,+6,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng di chuyển"
SLPS_020.75,0x23d4,お店破壊,Phá Hủy Cửa Hàng,Phá!,SOURCE_FULL_TRANSLATED_ONLY,"Tên event lặp exact-offset"
SLPS_020.75,0x23e8,カード交換,Đổi Thẻ,Đổi,SOURCE_FULL_TRANSLATED_ONLY,"Tên event"
SLPS_020.75,0x244c,ヤスツナ,Yasutsuna,Yasu,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
SLPS_020.75,0x2458,ガラハッド,Galahad,Galhd,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
SLPS_020.75,0x2464,ティアラ,Tiara,Mão,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật; giữ tên riêng"
SLPS_020.75,0x2470,ゴライアス,Goliath,Golia,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
SLPS_020.75,0x247c,メグメグ,Megu Megu,Megu,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
SLPS_020.75,0x2488,アガート,Agat,Agat,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
SLPS_020.75,0x2494,シンバッド,Sinbad,Sinba,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
SLPS_020.75,0x2580,れん金術,Thuật Giả Kim,Giả,SOURCE_FULL_TRANSLATED_ONLY,"Tên loại/công trình"
SLPS_020.75,0x263c,病院,Bệnh Viện,BV,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
SLPS_020.75,0x264a,騎士団,Đoàn Kỵ Sĩ,Kỵ,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình/tổ chức"
