japanese,vi_fantasy
「%s」と,%s và
「%s」を,%s
手に入れたよ,Đã nhận
ルートを切りかえるね,Đổi lộ nhé
価値,Giá trị
通行税,Lộ phí
金斗雲,Cân Đẩu Vân
(速い者順),(Nhanh trước)
ベントカードが,Thẻ SK
武器カード、イ,VK/SK
通過するとお金,Qua: nhận tiền
もらえます,Sẽ nhận
トカードが１枚,1 thẻ SK
止まるとイベン,Dừng: SK
できます,Có thể
しかけることが,Có thể mở
あいてに戦闘を,Đấu địch thủ
止まると好きな,Dừng: chọn
所有者なし,Vô chủ
プール金%5d,Quỹ %5d
通行税 %4d,Lộ %4d
通行税 %+3d％,Lộ %+3d%
%sのラッキー！！,%s may!
「１進む」,Tiến 1
「２進む」,Tiến 2
「３進む」,Tiến 3
「４進む」,Tiến 4
「５進む」,Tiến 5
「６進む」,Tiến 6
「ダイス３つ」,3 xúc xắc
「ダイス４つ」,4 xúc xắc
「地震」,Động đất
「バトルカード」,Thẻ đấu
「ふみたおし」,Quỵt nợ
「ルート変更」,Đổi lộ
エストック,Estoc
ジプシータロウ,Gypsy Taro
レイピア,Rapier
ジャンビーヤ,Jambiya
クレイモア,Claymore
ボーイナイフ,Dao Bowie
ヤスツナ,Yasutsuna
ガラハッド,Galahad
ティアラ,Tiara
ゴライアス,Goliath
メグメグ,Megumegu
アガート,Agate
シンバッド,Sinbad
やるね,Khá đấy
なかなかやるね,Khá lắm
カード交換,Đổi thẻ
お店破壊,Phá tiệm
ＧＯマス,Ô GO
戦闘マスね,Ô chiến
酒場マスだよ,Ô quán
所得税マスにとまっちゃった！,Ô thuế lợi tức!
土地税マスに止まっちゃった！,Ô thuế đất!
聖地マスに止まったよ！,Ô Thánh địa!
たまった税金をあげるね！！,Nhận quân thuế!
どこにいっちゃうのかしら,Đi đâu đây?
おまたせ！,Tới lượt!
