file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0x434,酒場へようこそ,Chào mừng đến quán rượu.,Chào!,SOURCE_FULL_TRANSLATED_ONLY,"Exact-offset source companion; chưa thay runtime compact"
PRGPACK.BDP,0x444,ちょうどタイクツしてたんだ,Đúng lúc tôi đang chán đây.,Đang chán quá,SOURCE_FULL_TRANSLATED_ONLY,"Giữ giọng hội thoại tự nhiên"
PRGPACK.BDP,0x460,わたしと一勝負してかないかい,Làm một ván với tôi trước khi đi chứ?,Đấu với ta?,SOURCE_FULL_TRANSLATED_ONLY,"一勝負 = một ván/một trận"
PRGPACK.BDP,0x480,今からふるダイスの目がこのダイス,Hãy đoán xem mặt xúc xắc sắp gieo so với mặt xúc xắc này...,So số sắp gieo,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với dòng kế tiếp"
PRGPACK.BDP,0x4a4,より大きいかちいさいか当てるんだよ,...sẽ lớn hơn hay nhỏ hơn nhé.,Đoán lớn/nhỏ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối từ dòng trước"
PRGPACK.BDP,0x4c8,最初の賞品はこいつさ,Phần thưởng đầu tiên là thứ này.,Thưởng đầu,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
PRGPACK.BDP,0x4e0,なんだい、もう終わりかい,"Sao thế, nghỉ luôn rồi à?",Nghỉ rồi à?,SOURCE_FULL_TRANSLATED_ONLY,"Giọng trêu chọc nhẹ"
PRGPACK.BDP,0x4fc,…つまんないね,…Chán thật đấy.,...Chán,SOURCE_FULL_TRANSLATED_ONLY,"Giữ dấu lửng mở đầu"
PRGPACK.BDP,0x510,やるね,Khá lắm!,Hay,SOURCE_FULL_TRANSLATED_ONLY,"Lời khen ngắn sau lượt chơi"
PRGPACK.BDP,0x518,もう勝負は終わりだよ,Ván đấu kết thúc rồi.,Đấu xong,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
PRGPACK.BDP,0x540,もう一勝負してくかい？,Làm thêm một ván nữa chứ?,Đấu nữa?,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
PRGPACK.BDP,0x558,つぎの賞品はこいつだよ,Phần thưởng tiếp theo là thứ này.,Thưởng tiếp,SOURCE_FULL_TRANSLATED_ONLY,"Mini-game quán rượu"
PRGPACK.BDP,0x570,%d枚の武器カードが手に入ったよ,Bạn nhận được %d Thẻ Vũ khí.,Nhận %d thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
PRGPACK.BDP,0x590,でももう持ち切れないみたい,"Nhưng có vẻ bạn không mang thêm được nữa.",Hết chỗ rồi,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo đầy sức chứa"
PRGPACK.BDP,0x5ac,いらないカードを捨ててね,Hãy bỏ những lá bài không cần.,Bỏ thẻ thừa,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo quản lý bài"
PRGPACK.BDP,0x5f8,武器カードは,Thẻ Vũ khí thì...,Thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; không tự nối nghĩa ngoài nguồn"
