file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0x67d68,%sを建てたよ,Đã xây %s.,xây %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
PRGPACK.BDP,0x67d78,%dゼニーはらってね,Hãy trả %d Zenny.,Trả %dZ,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
PRGPACK.BDP,0x67d8c,/V%sさん/v,/V%s/v,/V%s/v,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên tag /V.../v và token %s; tiếng Việt bỏ kính ngữ さん"
PRGPACK.BDP,0x67d98,お金たりないじゃない！,Không đủ tiền rồi!,Thiếu tiền!,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo thiếu tiền"
PRGPACK.BDP,0x67db0,不足金額： %dゼニー,Số tiền còn thiếu: %d Zenny,Thiếu:%dZ,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
PRGPACK.BDP,0x67dc4,あーあぁ,Chán thật...,Chán,SOURCE_FULL_TRANSLATED_ONLY,"Thán từ thất vọng"
PRGPACK.BDP,0x67dec,%sさんの資産とカードが,Tài sản và bài của %s...,TS+thẻ %s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
PRGPACK.BDP,0x67e04,%sさんのものになるよ,...sẽ thuộc về %s.,thuộc %s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; giữ token %s"
PRGPACK.BDP,0x67edc,次の武器カードをもらったよ,Bạn nhận được Thẻ Vũ khí sau đây.,Nhận thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo nhận bài"
PRGPACK.BDP,0x67ef8,手持ちの武器カードがいっぱいだよ,Số Thẻ Vũ khí đang mang đã đầy.,Thẻ VK đã đầy,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo đầy bài"
PRGPACK.BDP,0x67f1c,なにか捨ててね,Hãy bỏ bớt một lá nhé.,Bỏ bớt,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo quản lý bài"
PRGPACK.BDP,0x67f2c,次のイベントカードをもらったよ,Bạn nhận được Thẻ Sự kiện sau đây.,Nhận thẻ SK,SOURCE_FULL_TRANSLATED_ONLY,"イベントカード = Thẻ Sự kiện"
PRGPACK.BDP,0x67f4c,手持ちのイベントカードがいっぱいで,Số Thẻ Sự kiện đang mang đã đầy nên...,Thẻ SK đã đầy,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ trạng thái nối"
PRGPACK.BDP,0x67fa4,「%s」を手に入れたよ,Bạn nhận được “%s”.,Nhận %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
PRGPACK.BDP,0x67fc8,あきらめたよ,Đã bỏ cuộc rồi.,Đã bỏ,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo kết quả"
PRGPACK.BDP,0x67fd8,レベル５裏武器カード,Thẻ Vũ khí Ẩn cấp 5,VK ẩn LV5,SOURCE_FULL_TRANSLATED_ONLY,"裏 giữ theo thuật ngữ runtime hiện dùng: Ẩn"
PRGPACK.BDP,0x67ff0,レベル５表武器カード,Thẻ Vũ khí mặt trước cấp 5,VK LV5,SOURCE_FULL_TRANSLATED_ONLY,"表 dịch sát nghĩa để phân biệt với 裏"
