file,offset_hex,japanese,vi_full,source_queue,status,note
PRGPACK.BDP,0xbfbec,この設定でいいかしら？,Thiết lập này ổn chứ?,PART04,REVIEWED_SOURCE_TRANSLATION,"Prompt xác nhận"
PRGPACK.BDP,0xbfd2c,キャラクターをえらんでね,Hãy chọn nhân vật.,PART04,REVIEWED_SOURCE_TRANSLATION,"Màn chọn nhân vật"
PRGPACK.BDP,0xbfe4c,○ボタンをおしてね！,Hãy nhấn nút ○!,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ ký hiệu nút theo nguồn"
PRGPACK.BDP,0xddd68,ゲームをはじめるよ,Bắt đầu trò chơi nhé!,PART04,REVIEWED_SOURCE_TRANSLATION,"Thông báo bắt đầu"
PRGPACK.BDP,0xddd7c,データがないわよ,Không có dữ liệu.,PART04,REVIEWED_SOURCE_TRANSLATION,"Thông báo dữ liệu"
PRGPACK.BDP,0xde110,ＳＬＯＴをえらんでね,Hãy chọn SLOT.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ thuật ngữ SLOT"
SLPS_020.75,0x938,%dゼニーあげるね,Tặng bạn %d Zenny nhé.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %d"
SLPS_020.75,0x94c,ＧＯマス,Ô GO,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên ô bàn cờ"
SLPS_020.75,0x958,体力が５０回復したよ！,HP đã hồi 50!,PART04,REVIEWED_SOURCE_TRANSLATION,"Thông báo hồi phục"
SLPS_020.75,0x970,%sに止まったよ,Bạn đã dừng ở %s.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0x980,%sの土地に,Trên lãnh địa của %s...,PART04,REVIEWED_SOURCE_TRANSLATION,"Mảnh câu; giữ token %s"
SLPS_020.75,0x98c,止まっちゃったよ,...bạn dừng lại mất rồi!,PART04,REVIEWED_SOURCE_TRANSLATION,"Mảnh câu nối từ dòng trước"
SLPS_020.75,0x9a0,戦闘マスね,Đây là ô Chiến đấu.,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên ô gameplay"
SLPS_020.75,0x9ac,土地をかけて戦うことができるよ,Bạn có thể chiến đấu để tranh giành lãnh địa.,PART04,REVIEWED_SOURCE_TRANSLATION,"Gameplay"
SLPS_020.75,0x9cc,酒場マスだよ,Đây là ô Quán rượu.,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên ô gameplay"
SLPS_020.75,0x9dc,武器カードが手に入るわ,Bạn sẽ nhận được một Thẻ Vũ khí.,PART04,REVIEWED_SOURCE_TRANSLATION,"Gameplay"
SLPS_020.75,0x9f4,所得税マスにとまっちゃった！,Bạn dừng trúng ô Thuế thu nhập!,PART04,REVIEWED_SOURCE_TRANSLATION,"Thông báo ô thuế"
SLPS_020.75,0xa14,所持金の２０％とられるよ,Bạn sẽ mất 20% số tiền đang có.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên tỷ lệ 20%"
SLPS_020.75,0xa30,土地税マスに止まっちゃった！,Bạn dừng trúng ô Thuế đất!,PART04,REVIEWED_SOURCE_TRANSLATION,"Thông báo ô thuế"
SLPS_020.75,0xa50,土地代の２０％とられるよ,Bạn sẽ mất 20% giá trị đất.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên tỷ lệ 20%"
SLPS_020.75,0xa6c,聖地マスに止まったよ！,Bạn đã dừng ở ô Thánh địa!,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên ô gameplay"
SLPS_020.75,0xa84,たまった税金をあげるね！！,Bạn nhận được toàn bộ tiền thuế đã tích lũy!!,PART04,REVIEWED_SOURCE_TRANSLATION,"Thông báo nhận thuế"
SLPS_020.75,0xaa0,どこにいっちゃうのかしら,Không biết bạn sẽ đi đâu nhỉ.,PART04,REVIEWED_SOURCE_TRANSLATION,"Lời dẫn dịch chuyển"
SLPS_020.75,0xabc,%sは一回休みよ！,%s phải nghỉ một lượt!,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0xad0,%sの番よ！,Đến lượt %s!,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0xadc,おまたせ！,Đợi lâu rồi nhé!,PART04,REVIEWED_SOURCE_TRANSLATION,"Lời dẫn ngắn"
SLPS_020.75,0xae8,ほかの人と同じマスに止まったよ,Bạn đã dừng cùng ô với người khác.,PART04,REVIEWED_SOURCE_TRANSLATION,"Gameplay"
SLPS_020.75,0xb08,戦いをしかけるよね？,Bạn muốn khiêu chiến chứ?,PART04,REVIEWED_SOURCE_TRANSLATION,"Prompt chiến đấu"
SLPS_020.75,0xdf8,「%s」を捨てて,Bỏ “%s”.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0xe08,「%s」を手に入れたよ,Bạn nhận được “%s”.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0xe20,「%s」を手に入れたけど,"Bạn nhận được “%s”, nhưng...",PART04,REVIEWED_SOURCE_TRANSLATION,"Mảnh câu; giữ nguyên token %s"
SLPS_020.75,0xe38,捨てたよ,Đã bỏ rồi.,PART04,REVIEWED_SOURCE_TRANSLATION,"Thông báo hoàn tất"
SLPS_020.75,0xe54,これでいい？,Thế này được chứ?,PART04,REVIEWED_SOURCE_TRANSLATION,"Prompt xác nhận"
SLPS_020.75,0xe64,はい　　いいえ,Có    Không,PART04,REVIEWED_SOURCE_TRANSLATION,"Lựa chọn nhị phân"
SLPS_020.75,0xe9c,使用するカードをえらんでね,Hãy chọn lá bài muốn dùng.,PART04,REVIEWED_SOURCE_TRANSLATION,"Prompt chọn bài"
SLPS_020.75,0xeb8,「%s」を使うね,Dùng “%s” nhé.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0x1130,サンダー,Sấm Sét,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên kỹ năng/vũ khí"
SLPS_020.75,0x1158,ハリケーン,Cuồng Phong,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên kỹ năng/vũ khí"
SLPS_020.75,0x117c,クロスボウ,Nỏ,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x11a0,ロングソード,Trường Kiếm,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x11e0,ハンマー,Búa,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x11ec,運がよければ敵を倒せるかも,"Nếu may mắn, có thể hạ gục đối thủ.",PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả hiệu ứng"
SLPS_020.75,0x1208,特殊　速度６　使い捨て,Đặc biệt - Tốc độ 6 - Dùng một lần,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ thông số tốc độ 6"
SLPS_020.75,0x1220,いちかばちか,"Được ăn cả, ngã về không!",PART04,REVIEWED_SOURCE_TRANSLATION,"Thành ngữ いちかばちか"
SLPS_020.75,0x1230,あいてのカード一枚を破壊する,Phá hủy một lá bài của đối thủ.,PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả hiệu ứng"
SLPS_020.75,0x1260,ポリタンがみがわりに！？,Politan sẽ thế thân cho bạn!?,PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả hiệu ứng"
SLPS_020.75,0x127c,防御　速度７　使い捨て,Phòng thủ - Tốc độ 7 - Dùng một lần,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ thông số tốc độ 7"
SLPS_020.75,0x1294,みがわり,Thế Thân,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên hiệu ứng"
SLPS_020.75,0x13b0,封いんされた魔法,Ma Pháp Bị Phong Ấn,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vật phẩm/kỹ năng"
SLPS_020.75,0x13e0,ダークメテオ,Ám Thiên Thạch,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên ma pháp"
SLPS_020.75,0x1408,伝説の聖剣,Thánh Kiếm Huyền Thoại,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x142c,エクスカリバー,Excalibur,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên riêng"
SLPS_020.75,0x143c,死亡するとＨＰ１００で復活,"Khi tử trận, hồi sinh với 100 HP.",PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả hiệu ứng"
SLPS_020.75,0x1458,復活の霊薬,Linh Dược Hồi Sinh,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vật phẩm"
SLPS_020.75,0x1464,最強の魔法,Ma Pháp Tối Thượng,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên/mô tả ma pháp"
SLPS_020.75,0x148c,メテオフォール,Mưa Thiên Thạch,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên ma pháp"
SLPS_020.75,0x149c,最強の弓,Cung Tối Thượng,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x14c0,ほのおの弓,Cung Lửa,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x14cc,最強の魔剣,Ma Kiếm Tối Thượng,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x14f0,魔剣ムラマサ,Ma Kiếm Muramasa,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x1500,あいての命中率を落とす,Giảm tỷ lệ trúng đòn của đối thủ.,PART04,REVIEWED_SOURCE_TRANSLATION,"命中率 = tỷ lệ trúng đòn"
SLPS_020.75,0x1518,まどわしの玉,Ngọc Mê Hoặc,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vật phẩm"
SLPS_020.75,0x1528,指定武器カード１枚を盗む,Trộm một Thẻ Vũ khí chỉ định.,PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả hiệu ứng"
SLPS_020.75,0x1560,盗賊のオーブ,Ngọc Đạo Tặc,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vật phẩm"
SLPS_020.75,0x158c,アースクエイク,Địa Chấn,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên kỹ năng"
SLPS_020.75,0x15b4,ストームソード,Kiếm Bão Tố,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x15c4,攻撃力を２倍にアップさせる,Tăng gấp đôi sức tấn công.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ hệ số x2"
SLPS_020.75,0x15e0,力の指輪,Nhẫn Sức Mạnh,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vật phẩm"
SLPS_020.75,0x15ec,ＨＰを６０回復する,Hồi 60 HP.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ giá trị 60 HP"
SLPS_020.75,0x1600,いやしのうた,Khúc Ca Trị Liệu,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên kỹ năng"
SLPS_020.75,0x1628,フェザーレイ,Feather Ray,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên riêng/kỹ năng"
SLPS_020.75,0x1638,ダメージの１／２を奪う,Hút một nửa sát thương.,PART04,REVIEWED_SOURCE_TRANSLATION,"Giữ tỷ lệ 1/2"
SLPS_020.75,0x1668,ブラッドスピア,Huyết Thương,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên vũ khí"
SLPS_020.75,0x1678,アイテムを使えなくする,Vô hiệu hóa việc sử dụng vật phẩm.,PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả hiệu ứng"
SLPS_020.75,0x1690,使い捨てアイテム,Vật phẩm dùng một lần,PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả loại vật phẩm"
SLPS_020.75,0x16a4,アイテム封じ,Phong Ấn Vật Phẩm,PART04,REVIEWED_SOURCE_TRANSLATION,"Tên hiệu ứng"
SLPS_020.75,0x16b4,クリティカルがでやすい,Dễ tung đòn chí mạng.,PART04,REVIEWED_SOURCE_TRANSLATION,"Mô tả hiệu ứng"
PRGPACK.BDP,0x67fa4,「%s」を手に入れたよ,Bạn nhận được “%s”.,PART03,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0x3394,「%s」を手に入れたよ,Bạn nhận được “%s”.,PART06,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
SLPS_020.75,0x33f4,「%s」を捨てて,Bỏ “%s”.,PART06,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
