queue_tier,japanese,best_file,best_offset_hex,best_byte_len,best_confidence,best_terminator,occurrence_count,scanner_priorities,anchors,all_exact_refs,vi_full,translation_status
HIGH-FIRST,ちょっとぉ…,PRGPACK.BDP,0x67d40,12,HIGH,NUL,2,UNSEEN-JAPANESE,,PRGPACK.BDP+0x67d40 | PRGPACK.BDP+0x68078,Này…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,不動産,PRGPACK.BDP,0x14ba38,6,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14ba38,Bất Động Sản,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,土地数,PRGPACK.BDP,0x14ba28,6,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14ba28,Số Đất,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ﾈ氷の弓,SLPS_020.75,0x1d87,7,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1d87,Cung Băng,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,%sさんは,PRGPACK.BDP,0x144404,8,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144404,%s…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,勝利条件,PRGPACK.BDP,0x30590,8,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x30590,Điều Kiện Thắng,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,敗北条件,PRGPACK.BDP,0x305f4,8,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x305f4,Điều Kiện Thua,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,d<力の指輪,SLPS_020.75,0x1c82,10,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1c82,Nhẫn Sức Mạnh,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,dﾈハンマー,SLPS_020.75,0x1f74,10,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1f74,Búa,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,お次は！？,PRGPACK.BDP,0x14bf2c,10,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bf2c,Tiếp theo là!?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ラッキー！,PRGPACK.BDP,0xb3cc8,10,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb3cc8,May mắn!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ﾈせつなの剣,SLPS_020.75,0x1dbb,11,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1dbb,Kiếm Setsuna,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,ﾈほのおの弓,SLPS_020.75,0x1d1f,11,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1d1f,Cung Lửa,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,ﾈ復活の霊薬,SLPS_020.75,0x1d53,11,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1d53,Linh Dược Hồi Sinh,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,d<せつなの剣,SLPS_020.75,0x1be6,12,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1be6,Kiếm Setsuna,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,ジャジャーン,PRGPACK.BDP,0x14bfdc,12,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bfdc,Ta-da!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,交換したよ。,PRGPACK.BDP,0x144324,12,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144324,Đã trao đổi.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,裏武器カード,PRGPACK.BDP,0x68014,12,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68014,Thẻ Vũ Khí Mặt Sau,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,運が悪いわね,PRGPACK.BDP,0xb37d4,12,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb37d4,Xui thật đấy.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,$いやしのうた,SLPS_020.75,0x1c69,13,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1c69,Khúc Ca Trị Liệu,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,$フェザーレイ,SLPS_020.75,0x1c4f,13,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1c4f,Feather Ray,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,(盗賊のオーブ,SLPS_020.75,0x1cd1,13,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1cd1,Ngọc Đạo Tặc,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,ﾈダークメテオ,SLPS_020.75,0x1da1,13,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1da1,Thiên Thạch Hắc Ám,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
