file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0xc00b4,"神々の戦いがはじまるのだ","Cuộc chiến của các vị thần sắp bắt đầu.","Thần chiến!",SOURCE_FULL_TRANSLATED_ONLY,"Intro Batch45; bản nguồn đầy đủ, runtime compact giữ nguyên"
PRGPACK.BDP,0xc00d0,"人々をコマとして、","Lấy con người làm những quân cờ,","Người: cờ",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ cấu trúc nối tiếp của lời dẫn"
PRGPACK.BDP,0xc00e4,"世界というゲームボードに、","trên bàn cờ mang tên thế giới,","Đời là bàn cờ",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ cấu trúc nối tiếp của lời dẫn"
PRGPACK.BDP,0xc0100,"あらがうことはできない","không ai có thể chống lại.","Khuất phục",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết ý với quyền năng của các vị thần"
PRGPACK.BDP,0xc0118,"座すという神々の力に","trước quyền năng của những vị thần ngự trị.","Trước thần",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; 座す diễn đạt thần linh ngự trị"
PRGPACK.BDP,0xc0130,"まぼろしの大地に","trên vùng đất huyền ảo,","Miền ảo",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ cấu trúc nối tiếp của lời dẫn"
PRGPACK.BDP,0xc0144,"どんな王も司教も、","dù là vua hay giáo chủ nào,","Vua,tu sĩ",SOURCE_FULL_TRANSLATED_ONLY,"司教 dịch là giáo chủ/giám mục theo sắc thái fantasy; câu là mảnh nối"
PRGPACK.BDP,0xc0158,"「ガイアマスター」のルールのみ","chỉ còn luật lệ của “Gaia Master”.","Theo luật Gaia",SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên tên game Gaia Master"
PRGPACK.BDP,0xc0178,"いまや世界をつかさどるのは","Giờ đây, thứ chi phối cả thế giới là...","Giờ thế giới",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu dẫn tới luật Gaia Master"
PRGPACK.BDP,0xc0194,"あとかたもなくくずれさる","sẽ sụp đổ, không còn dấu vết.","Tan biến hết",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết ý các luật lệ của loài người"
PRGPACK.BDP,0xc01b0,"今日をかぎりに","Kể từ hôm nay,","Hôm nay",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ cấu trúc nối tiếp của lời dẫn"
PRGPACK.BDP,0xc01c0,"人のきずいたあらゆる法は","mọi luật lệ do con người dựng nên","Luật người",SOURCE_FULL_TRANSLATED_ONLY,"きずいた ở đây hiểu theo 築いた: xây dựng; mảnh câu nối"
PRGPACK.BDP,0xc01dc,"おとずれたのだ！","đã đến rồi!","Bắt đầu!",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết cho 'thời khắc đã đến'"
PRGPACK.BDP,0xc01f0,"神々のゲーム「ガイアマスター」の時が","Thời khắc của trò chơi thần thánh “Gaia Master”","Trò Gaia Master",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối với おとずれたのだ; giữ tên game"
PRGPACK.BDP,0xc0218,"大陸をこんとんにたたきこむ","nhấn chìm cả đại lục vào hỗn loạn.","Đại lục loạn",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; sắc thái mạnh của たたきこむ được giữ"
PRGPACK.BDP,0xc0234,"１００年に一度めぐりくる宿命の時","Thời khắc định mệnh trăm năm mới đến một lần,","100 năm một lần",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu của lời dẫn mở đầu"
PRGPACK.BDP,0xc0258,"空にうかぶまぼろしの大地","Vùng đất huyền ảo lơ lửng giữa trời,","Miền đất ảo",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ sắc thái fantasy"
PRGPACK.BDP,0xc0274,"月も太陽もおおいかくす","che khuất cả mặt trăng lẫn mặt trời.","Trời u tối",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối từ vùng đất huyền ảo"
PRGPACK.BDP,0xc028c,"世界はもはや人のものではなくなった","Thế giới đã không còn thuộc về con người nữa.","Thế giới đổi chủ",SOURCE_FULL_TRANSLATED_ONLY,"Bản nguồn đầy đủ; runtime compact giữ nguyên"
