vi_game_current,vi_accented,category,note
%s CUA,%s của,global-fallback,Batch 3 extra expansion
%s LA,%s là,global-fallback,Batch 3 global accent promotion
%s MAY MAN!!,%s may mắn!,global-fallback,Batch 3 global accent promotion
%s NHE,%s nhé,global-fallback,Batch 3 global accent promotion
%s TAY %s,%s tay %s,global-fallback,Batch 3 global accent promotion
(NHANH TRUOC),(Nhanh trước),global-fallback,Batch 3 global accent promotion
...CHAN,...chán,global-fallback,Batch 3 global accent promotion
1 LUOT RIENG BAN,1 lượt riêng bạn,global-fallback,Batch 3 global accent promotion
1 NHAN,1 Nhanh,global-fallback,Batch 3 global accent promotion
1 THE SK,1 thẻ SK,global-fallback,Batch 3 global accent promotion
2 VUA,2 Vừa,global-fallback,Batch 3 global accent promotion
20% THANH THUE,20% thành thuế,global-fallback,Batch 3 extra expansion
3 XUCXAC,3 xúc xắc,global-fallback,Batch 3 global accent promotion
4 XUCXAC,4 xúc xắc,global-fallback,Batch 3 global accent promotion
4 XUCXAC!!,4 xúc xắc!,global-fallback,Batch 3 global accent promotion
AM,âm,global-fallback,Batch 3 global accent promotion
BAN %s,Bán %s,global-fallback,Batch 3 global accent promotion
BAN GI?,Bán gì?,global-fallback,Batch 3 global accent promotion
BAOTUYET,Bão tuyết,global-fallback,Batch 3 extra expansion
BAY DI!!,Bay đi!,global-fallback,Batch 3 global accent promotion
BENH,Bệnh,global-fallback,Batch 3 global accent promotion
"BO %s,","Bỏ %s,",global-fallback,Batch 3 global accent promotion
BO BOT THE,Bỏ bớt thẻ,global-fallback,Batch 3 global accent promotion
BO THE NAO?,Bỏ thẻ nào?,global-fallback,Batch 3 global accent promotion
BO THE THUA,Bỏ thẻ thừa,global-fallback,Batch 3 global accent promotion
BO!,Bỏ!,global-fallback,Batch 3 global accent promotion
CAIDAT,Cài đặt,global-fallback,Batch 3 global accent promotion
CAM DO,Cám dỗ,global-fallback,Batch 3 global accent promotion
CAN DAU VAN,Cân Đẩu Vân,global-fallback,Batch 3 global accent promotion
CHAN,Chán,global-fallback,Batch 3 global accent promotion
CHAN PHA SHOP!!,Chặn phá shop!,global-fallback,Batch 3 global accent promotion
CHOI VA THANG,Chơi thắng,global-fallback,Batch 3 global accent promotion
CHON NHANH,Chọn nhanh,global-fallback,Batch 3 global accent promotion
CHON NHANH!!,Chọn nhanh!!,global-fallback,Batch 3 global accent promotion
CHON XONG TS,Chọn xong TS,global-fallback,Batch 3 global accent promotion
CHUA CO DAT,Chưa có đất,global-fallback,Batch 3 global accent promotion
CHUA CO THUE,Chưa có thuế,global-fallback,Batch 3 global accent promotion
CO GI DAY?,Có gì đây?,global-fallback,Batch 3 global accent promotion
CO THE,Có thể,global-fallback,Batch 3 global accent promotion
CO THE DOI,Có thể đổi,global-fallback,Batch 3 global accent promotion
CO THE MO,Có thể mở,global-fallback,Batch 3 global accent promotion
CO THE THACHDAU,Có thể thách đấu,global-fallback,Batch 3 global accent promotion
COHOI DOI THE VK,Cơ hội đổi thẻ,global-fallback,Batch 3 global accent promotion
CUNG BANG,Cung băng,global-fallback,Batch 3 global accent promotion
DA DOI DUONG,Đã đổi đường,global-fallback,Batch 3 global accent promotion
DAI LC,Đại LC,global-fallback,Batch 3 global accent promotion
DAI MAY,Đại may,global-fallback,Batch 3 global accent promotion
DAI XUI,Đại xui,global-fallback,Batch 3 global accent promotion
DAM LAI GAN,Dám lại gần,global-fallback,Batch 3 global accent promotion
DAM NGUYEN,Đầm nguyền,global-fallback,Batch 3 global accent promotion
DANG CHAN QUA,Đang chán quá,global-fallback,Batch 3 global accent promotion
DAO,Đạo,global-fallback,Batch 3 extra expansion
DAO TAC,Đạo tặc,global-fallback,Batch 3 global accent promotion
DAU 1 TRAN?,Đấu 1 trận?,global-fallback,Batch 3 global accent promotion
DAU DOI THU,Đấu đối thủ,global-fallback,Batch 3 global accent promotion
DAU THEM?,Đấu thêm?,global-fallback,Batch 3 global accent promotion
DAU TOI 1 VAN?,Đấu tôi 1 ván?,global-fallback,Batch 3 global accent promotion
DAU XONG,Đấu xong,global-fallback,Batch 3 global accent promotion
DEN O GO,Đến ô GO,global-fallback,Batch 3 global accent promotion
DO XUI,Do xui,global-fallback,Batch 3 extra expansion
DOAN XUC XAC NAY,Đoán xúc xắc này,global-fallback,Batch 3 global accent promotion
DOI,Đổi,global-fallback,Batch 3 extra expansion
DOI CAC NGA RE,Đổi các ngã rẽ,global-fallback,Batch 3 global accent promotion
DOI CHO,Đổi chỗ,global-fallback,Batch 3 global accent promotion
DOI CHU DAT,Đổi chủ đất,global-fallback,Batch 3 global accent promotion
DOI DUONG,Đổi đường,global-fallback,Batch 3 global accent promotion
DOI DUONG?,Đổi đường?,global-fallback,Batch 3 global accent promotion
DOI THE,Đổi thẻ,global-fallback,Batch 3 global accent promotion
DOI TOI DA2,Đổi tối đa2,global-fallback,Batch 3 global accent promotion
DOI TUYEN,Đổi tuyến,global-fallback,Batch 3 global accent promotion
DONG DAT,Động đất,global-fallback,Batch 3 extra expansion
DONGDAT,Động đất,global-fallback,Batch 3 global accent promotion
DUNG THAT?,Dừng thật?,global-fallback,Batch 3 global accent promotion
DUNG THE DOI THU,Dùng thẻ đối thủ,global-fallback,Batch 3 global accent promotion
DUNG THE NAY,Dùng thẻ này,global-fallback,Batch 3 global accent promotion
DUNG: GIA DAT,Dừng:giá đất,global-fallback,Batch 3 extra expansion
DUNG: MINI GAME,Dừng:mini game,global-fallback,Batch 3 global accent promotion
DUNG: SU KIEN,Dừng:sự kiện,global-fallback,Batch 3 global accent promotion
DUNG: TIEN CO,Dừng:tiền có,global-fallback,Batch 3 extra expansion
DUNG: TUY CHON,Dừng:tùy chọn,global-fallback,Batch 3 global accent promotion
DUNG: TUYEN,Dừng:tuyến,global-fallback,Batch 3 global accent promotion
GIA KIM,Giả kim,global-fallback,Batch 3 global accent promotion
GIAOMAU,Giáo máu,global-fallback,Batch 3 extra expansion
GIATRI,Giá trị,global-fallback,Batch 3 global accent promotion
GIATRI DAT TANG,Giá đất tăng,global-fallback,Batch 3 global accent promotion
GIU NGUYEN,Giữ nguyên,global-fallback,Batch 3 global accent promotion
GOI MA,Gọi ma,global-fallback,Batch 3 global accent promotion
GUI O THANH DIA,Gửi Thánh địa,global-fallback,Batch 3 global accent promotion
HE HE,Hê hê,global-fallback,Batch 3 global accent promotion
HET,Hết,global-fallback,Batch 3 global accent promotion
HET CHO,Hết chỗ,global-fallback,Batch 3 global accent promotion
HET CHO CHUA,Hết chỗ chứa,global-fallback,Batch 3 global accent promotion
HIEPSI,Hiệp sĩ,global-fallback,Batch 3 global accent promotion
HINH NHU,Hình như,global-fallback,Batch 3 global accent promotion
HOATANH,Hoạt ảnh,global-fallback,Batch 3 global accent promotion
HOI DAY HP,Hồi đầy HP,global-fallback,Batch 3 global accent promotion
HOI60HP,Hồi60HP,global-fallback,Batch 3 extra expansion
HOIPHUC,Hồi phục,global-fallback,Batch 3 global accent promotion
HON BANG,Hôn băng,global-fallback,Batch 3 global accent promotion
HON LOAN,Hỗn loạn,global-fallback,Batch 3 global accent promotion
HOTRO,Hỗ trợ,global-fallback,Batch 3 global accent promotion
HP DOI THU,HP đối thủ,global-fallback,Batch 3 global accent promotion
HP0 TRA VIENPHI,HP0 trả viện phí,global-fallback,Batch 3 global accent promotion
HU?,Hử?,global-fallback,Batch 3 global accent promotion
HUY,Hủy,global-fallback,Batch 3 global accent promotion
KHOA DO,Khóa đồ,global-fallback,Batch 3 extra expansion
KHOADO,Khóa đồ,global-fallback,Batch 3 extra expansion
KHONG ANH HUONG,Không ảnh hưởng,global-fallback,Batch 3 global accent promotion
KHONG CO TIEN,Không có tiền,global-fallback,Batch 3 global accent promotion
KHU NAY CUA BAN,Khu này của bạn,global-fallback,Batch 3 global accent promotion
KIEMBAO,Kiếm bão,global-fallback,Batch 3 extra expansion
KIEMNHANH,Kiếm nhanh,global-fallback,Batch 3 extra expansion
KO NHAN,Chưa nhận,global-fallback,Batch 3 global accent promotion
LAM GI DAY?,Làm gì đấy?,global-fallback,Batch 3 global accent promotion
LAU CA,Láu cá,global-fallback,Batch 3 global accent promotion
LAY TIEN CUNG O,Lấy tiền cùng ô,global-fallback,Batch 3 global accent promotion
