file,offset_hex,vi_accented,category,note
PRGPACK.BDP,0x674c4,“%s”…,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
PRGPACK.BDP,0x67ab0,Hủy,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
PRGPACK.BDP,0x67d8c,/V%s/v,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
PRGPACK.BDP,0x67f94,Bỏ “%s”.,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
PRGPACK.BDP,0x68bfc,Gừừ～,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
PRGPACK.BDP,0x68db0,…,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x94c,Ô GO,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0xdf8,Bỏ “%s”.,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x117c,Nỏ,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x11e0,Búa,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x1768,Hồi 30 HP,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x17b0,Cầu Lửa,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x17f0,Estoc,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x33f4,Bỏ “%s”.,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x378c,Hủy,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
SLPS_020.75,0x3864,Trời ơi,batch19-auto-exact,Generated from fitting Translation Master vi_full; token-safe; historical 0.6.14.1 locks preserved
