file,offset_hex,japanese,vi_full,status
PRGPACK.BDP,0xbfbec,この設定でいいかしら？,Thiết lập này ổn chứ?,PREPARED_TRANSLATION_ONLY
PRGPACK.BDP,0xbfd2c,キャラクターをえらんでね,Chọn nhân vật nhé,PREPARED_TRANSLATION_ONLY
PRGPACK.BDP,0xbfe4c,○ボタンをおしてね！,Nhấn nút O nhé!,PREPARED_TRANSLATION_ONLY
PRGPACK.BDP,0xddd68,ゲームをはじめるよ,Bắt đầu trò chơi nhé,PREPARED_TRANSLATION_ONLY
PRGPACK.BDP,0xddd7c,データがないわよ,Không có dữ liệu,PREPARED_TRANSLATION_ONLY
PRGPACK.BDP,0xde110,ＳＬＯＴをえらんでね,Chọn SLOT nhé,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x938,%dゼニーあげるね,Tặng %d Zenny nhé,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x94c,ＧＯマス,Ô GO,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x958,体力が５０回復したよ！,Đã hồi 50 HP!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x970,%sに止まったよ,Đã dừng ở %s,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x980,%sの土地に,Trên đất của %s,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x98c,止まっちゃったよ,đã dừng lại rồi,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x9a0,戦闘マスね,Ô chiến đấu,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x9ac,土地をかけて戦うことができるよ,Có thể chiến đấu tranh đất,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x9cc,酒場マスだよ,Ô quán rượu,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x9dc,武器カードが手に入るわ,Nhận được thẻ vũ khí,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x9f4,所得税マスにとまっちゃった！,Dừng ở ô thuế thu nhập!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xa14,所持金の２０％とられるよ,Mất 20% tiền đang có,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xa30,土地税マスに止まっちゃった！,Dừng ở ô thuế đất!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xa50,土地代の２０％とられるよ,Mất 20% giá trị đất,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xa6c,聖地マスに止まったよ！,Dừng ở ô Thánh địa!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xa84,たまった税金をあげるね！！,Nhận tiền thuế tích lũy!!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xaa0,どこにいっちゃうのかしら,Không biết sẽ đi đâu nhỉ,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xabc,%sは一回休みよ！,%s nghỉ một lượt!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xad0,%sの番よ！,Đến lượt %s!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xadc,おまたせ！,Đợi lâu rồi!,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xae8,ほかの人と同じマスに止まったよ,Dừng cùng ô với người khác,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xb08,戦いをしかけるよね？,Khiêu chiến chứ?,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xdf8,「%s」を捨てて,Bỏ %s,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xe08,「%s」を手に入れたよ,Đã nhận %s,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xe20,「%s」を手に入れたけど,Đã nhận %s nhưng,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xe38,捨てたよ,Đã bỏ rồi,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xe54,これでいい？,Thế này ổn chứ?,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xe64,はい　　いいえ,Có    Không,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xe9c,使用するカードをえらんでね,Chọn thẻ muốn dùng,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0xeb8,「%s」を使うね,Dùng %s nhé,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1130,サンダー,Sấm sét,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1158,ハリケーン,Cuồng phong,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x117c,クロスボウ,Nỏ,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x11a0,ロングソード,Trường kiếm,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x11e0,ハンマー,Búa,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x11ec,運がよければ敵を倒せるかも,May mắn có thể hạ địch,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1208,特殊　速度６　使い捨て,Đặc biệt / Tốc 6 / Dùng 1 lần,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1220,いちかばちか,Liều một phen,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1230,あいてのカード一枚を破壊する,Phá 1 thẻ của đối thủ,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1260,ポリタンがみがわりに！？,Politan thế mạng!?,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x127c,防御　速度７　使い捨て,Phòng thủ / Tốc 7 / Dùng 1 lần,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1294,みがわり,Thế thân,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x13b0,封いんされた魔法,Ma pháp phong ấn,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x13e0,ダークメテオ,Thiên thạch hắc ám,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1408,伝説の聖剣,Thánh kiếm huyền thoại,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x142c,エクスカリバー,Excalibur,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x143c,死亡するとＨＰ１００で復活,Chết sẽ hồi sinh với 100 HP,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1458,復活の霊薬,Thuốc hồi sinh,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1464,最強の魔法,Ma pháp mạnh nhất,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x148c,メテオフォール,Mưa thiên thạch,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x149c,最強の弓,Cung mạnh nhất,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x14c0,ほのおの弓,Cung lửa,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x14cc,最強の魔剣,Ma kiếm mạnh nhất,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x14f0,魔剣ムラマサ,Ma kiếm Muramasa,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1500,あいての命中率を落とす,Giảm độ chính xác của đối thủ,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1518,まどわしの玉,Ngọc mê hoặc,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1528,指定武器カード１枚を盗む,Trộm 1 thẻ vũ khí chỉ định,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1560,盗賊のオーブ,Ngọc đạo tặc,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x158c,アースクエイク,Động đất,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x15b4,ストームソード,Kiếm bão tố,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x15c4,攻撃力を２倍にアップさせる,Tăng gấp đôi sức tấn công,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x15e0,力の指輪,Nhẫn sức mạnh,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x15ec,ＨＰを６０回復する,Hồi 60 HP,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1600,いやしのうた,Khúc ca chữa lành,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1628,フェザーレイ,Feather Ray,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1638,ダメージの１／２を奪う,Hút 1/2 sát thương,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1668,ブラッドスピア,Giáo máu,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1678,アイテムを使えなくする,Khóa sử dụng vật phẩm,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x1690,使い捨てアイテム,Vật phẩm dùng một lần,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x16a4,アイテム封じ,Khóa vật phẩm,PREPARED_TRANSLATION_ONLY
SLPS_020.75,0x16b4,クリティカルがでやすい,Dễ ra chí mạng,PREPARED_TRANSLATION_ONLY
