file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
SLPS_020.75,0x2858,やったー！！,Tuyệt quá!!,Hay!!,SOURCE_FULL_TRANSLATED_ONLY,"Câu reo vui"
SLPS_020.75,0x2868,このエリアはあなたのものよ！！,Khu vực này thuộc về bạn rồi!!,Khu của bạn!!,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo chiếm khu"
SLPS_020.75,0x2888,このエリアはあなたたちのものよ！！,Khu vực này thuộc về các bạn rồi!!,Khu của các bạn!!,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo chiếm khu theo nhóm"
SLPS_020.75,0x28ac,土地の資産価値もどーんとアップ！,Giá trị tài sản của đất cũng tăng vọt!,Giá trị đất tăng,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo tăng giá trị"
SLPS_020.75,0x28d0,土地の持ち主が変わったよ,Chủ sở hữu mảnh đất đã thay đổi.,Đổi chủ đất,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo đổi chủ"
SLPS_020.75,0x28ec,体力が０になったから、ちりょうひ,Vì HP đã về 0, viện phí...,HP0 trả viện phí,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối với field phí 200 Zenny"
SLPS_020.75,0x2910,２００ゼニーをもらうわよ！,...tôi sẽ thu 200 Zenny nhé!,Nhận 200Z!,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết của viện phí; もらう mang nghĩa thu/nhận trong ngữ cảnh"
SLPS_020.75,0x2c44,何がおこるのかな,Không biết sẽ xảy ra chuyện gì nhỉ?,Có gì?,SOURCE_FULL_TRANSLATED_ONLY,"Câu dẫn event"
SLPS_020.75,0x2c58,２枚まで交換できるよ！,...có thể đổi tối đa 2 lá!,Đổi đến 2,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; nối với field đổi Thẻ Vũ khí"
SLPS_020.75,0x2c70,大チャンス！ライバルと武器カードを,Cơ hội lớn! Có thể đổi Thẻ Vũ khí với đối thủ...,Cơ hội Đổi thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối với 2枚まで交換できるよ！"
SLPS_020.75,0x2ca4,壊してくれるわよ,...sẽ phá sạch cho bạn.,Sẽ phá,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
SLPS_020.75,0x2cb8,えらんだエリアのお店を魔王が全部,Ma Vương sẽ phá toàn bộ cửa hàng trong khu vực đã chọn...,Ma phá tiệm,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối với 壊してくれるわよ"
SLPS_020.75,0x2cdc,「お店破壊」,“Phá Hủy Cửa Hàng”,「Phá」,SOURCE_FULL_TRANSLATED_ONLY,"Tên event/card"
SLPS_020.75,0x2cec,６マス進めるよ,Bạn sẽ tiến 6 ô.,Đi 6 ô,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng di chuyển"
SLPS_020.75,0x2cfc,「６進む」,“Tiến 6 Ô”,Đi 6,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2d08,５マス進めるよ,Bạn sẽ tiến 5 ô.,Đi 5 ô,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng di chuyển"
SLPS_020.75,0x2d18,「５進む」,“Tiến 5 Ô”,Đi 5,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2d24,４マス進めるよ,Bạn sẽ tiến 4 ô.,Đi 4 ô,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng di chuyển"
SLPS_020.75,0x2d34,「４進む」,“Tiến 4 Ô”,Đi 4,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2d40,３マス進めるよ,Bạn sẽ tiến 3 ô.,Đi 3 ô,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng di chuyển"
SLPS_020.75,0x2d50,「３進む」,“Tiến 3 Ô”,Đi 3,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2d5c,２マス進めるよ,Bạn sẽ tiến 2 ô.,Đi 2 ô,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng di chuyển"
SLPS_020.75,0x2d6c,「２進む」,“Tiến 2 Ô”,Đi 2,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2d78,１マス進めるよ,Bạn sẽ tiến 1 ô.,Đi 1 ô,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng di chuyển"
SLPS_020.75,0x2d88,使うとダイスをふるかわりに,Khi dùng, thay vì gieo xúc xắc...,thay xúc xắc,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; mô tả card di chuyển cố định"
SLPS_020.75,0x2da4,「１進む」,“Tiến 1 Ô”,Đi 1,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2db0,ダイスの数が４つになるよ,Số xúc xắc sẽ tăng thành 4.,Xúc xắc x4,SOURCE_FULL_TRANSLATED_ONLY,"Giữ số lượng 4"
SLPS_020.75,0x2dcc,超特急ーーー！,Siêu tốc độ!!!,Cực tốc,SOURCE_FULL_TRANSLATED_ONLY,"Câu hiệu ứng tốc độ"
SLPS_020.75,0x2ddc,「ダイス４つ」,“4 Xúc Xắc”,4 xắc,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2dec,ダイスの数が３つになるよ,Số xúc xắc sẽ tăng thành 3.,Xúc xắc x3,SOURCE_FULL_TRANSLATED_ONLY,"Giữ số lượng 3"
SLPS_020.75,0x2e08,スピードアップ！,Tăng tốc!,Tăng tốc,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng"
SLPS_020.75,0x2e1c,「ダイス３つ」,“3 Xúc Xắc”,3 xắc,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x2e2c,まわりの通行税が３０％下がるよ！,Phí qua đường xung quanh giảm 30%!,Phí giảm30%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 30%"
SLPS_020.75,0x2e50,死神のシンボルを建てると、,Khi xây Biểu tượng Tử Thần...,Xây Tử thần,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x2e84,１０％、まわりの通行税ダウン！,Phí qua đường xung quanh giảm 10%!,Phí giảm10%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 10%; nguồn có cấu trúc đảo"
SLPS_020.75,0x2ea4,沼のシンボルを建てれば、,Nếu xây Biểu tượng Đầm Lầy...,Xây đầm lầy,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x2edc,まわりの通行税が２倍になるよ！,Phí qua đường xung quanh tăng gấp 2!,Phí x2,SOURCE_FULL_TRANSLATED_ONLY,"Giữ hệ số x2"
SLPS_020.75,0x2efc,サーカスのシンボルを建てると、,Khi xây Biểu tượng Rạp Xiếc...,Xây xiếc,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x2f38,まわりの通行税が３倍になるよ！,Phí qua đường xung quanh tăng gấp 3!,Phí x3,SOURCE_FULL_TRANSLATED_ONLY,"Giữ hệ số x3"
SLPS_020.75,0x2f58,大聖堂のシンボルを建てると、,Khi xây Biểu tượng Đại Thánh Đường...,Dựng nhà thánh,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x2f90,まわりの通行税が７０％上がるよ！,Phí qua đường xung quanh tăng 70%!,Phí tăng70%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 70%"
SLPS_020.75,0x2fb4,庭園のシンボルを建てると、,Khi xây Biểu tượng Khu Vườn...,Xây vườn,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x2fe8,まわりの通行税が５０％上がるよ！,Phí qua đường xung quanh tăng 50%!,Phí tăng50%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 50%"
SLPS_020.75,0x300c,女神のシンボルを建てると、,Khi xây Biểu tượng Nữ Thần...,Xây Nữ thần,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x3040,まわりの通行税が３０％上がるよ！,Phí qua đường xung quanh tăng 30%!,Phí tăng30%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 30%"
SLPS_020.75,0x3064,温泉のシンボルを建てると、,Khi xây Biểu tượng Suối Nước Nóng...,Xây suối,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x3098,まわりの通行税が５０％下がるよ！,Phí qua đường xung quanh giảm 50%!,Phí giảm50%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 50%"
SLPS_020.75,0x30bc,はかばのシンボルを建てると、,Khi xây Biểu tượng Nghĩa Địa...,Xây nghĩa,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x30f4,まわりの通行税が７０％下がるよ！,Phí qua đường xung quanh giảm 70%!,Phí giảm70%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 70%"
SLPS_020.75,0x3118,塔のシンボルを建てると、,Khi xây Biểu tượng Tháp...,Xây tháp,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x3150,まわりの通行税が９０％下がるよ！,Phí qua đường xung quanh giảm 90%!,Phí giảm90%,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 90%"
SLPS_020.75,0x3174,邪神のシンボルを建てると、,Khi xây Biểu tượng Tà Thần...,Xây Tà thần,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu mô tả công trình"
SLPS_020.75,0x31a8,邪魔なシンボルを壊せるよ！,Có thể phá một Biểu tượng gây cản trở!,Phá tượng,SOURCE_FULL_TRANSLATED_ONLY,"Mô tả hiệu ứng"
SLPS_020.75,0x31c4,このカードを使うと、,Khi dùng lá bài này...,Dùng thẻ:,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
SLPS_020.75,0x31dc,「地震」,“Động Đất”,「ĐĐ」,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x31e8,戦闘をしかけることができるよ！,...bạn có thể thách đấu đối thủ!,Thách đấu được!,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; nối với field 0x3208"
SLPS_020.75,0x3208,このカードを使えば、ライバルに,Nếu dùng lá bài này, bạn có thể...,Dùng thẻ địch,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối với 戦闘をしかけることができるよ！"
SLPS_020.75,0x3228,「バトルカード」,“Thẻ Chiến Đấu”,「Thẻ」,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x323c,土地マスを無効にできるよ,...có thể vô hiệu hóa các ô đất.,Vô hiệu đất,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; nối với 0x3258"
SLPS_020.75,0x3258,１ターンのあいだ自分の番だけ、,Trong 1 lượt, chỉ trong lượt của mình...,1 lượt của bạn,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ phạm vi một lượt"
SLPS_020.75,0x3278,「ふみたおし」,“Quỵt Phí”,「Quỵt」,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x3288,特殊マスが効かなくなっちゃう,...các ô đặc biệt sẽ mất tác dụng.,Vô hiệu ô ĐB,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; nối với 0x32a8"
SLPS_020.75,0x32a8,氷の女神のくちづけでしばらく,Vì nụ hôn của Nữ Thần Băng, trong một thời gian...,Nụ thần băng,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối với 0x3288"
SLPS_020.75,0x32c8,「氷の女神のくちづけ」,“Nụ Hôn của Nữ Thần Băng”,「hôn băng」,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x32e0,を入れかえちゃう,...sẽ hoán đổi vị trí của mọi người.,Đổi chỗ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; nối với 0x32f4"
SLPS_020.75,0x32f4,いたずら好きの時の神がみんなの場所,Thần Thời Gian tinh nghịch sẽ lấy vị trí của mọi người...,Thần TG đổi chỗ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối với 0x32e0"
SLPS_020.75,0x3318,「時の神のいたずら」,“Trò Nghịch của Thần Thời Gian”,Trò thời,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
SLPS_020.75,0x3330,ルートを変えてあげる,...sẽ đổi tuyến đường cho bạn.,Đổi đường,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; nối với 0x3348"
SLPS_020.75,0x3348,全ての分岐マスを切りかえて、,Chuyển tất cả các ô ngã rẽ...,Đổi mọi rẽ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nối với 0x3330"
SLPS_020.75,0x3368,「ルート変更」,“Đổi Tuyến Đường”,「Đổi」,SOURCE_FULL_TRANSLATED_ONLY,"Tên card"
