file,offset_hex,japanese,vi_accented,field_bytes,vi_bytes,free_bytes,source,category
PRGPACK.BDP,0x6796c,売却,B.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x67ab8,価格,G.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x67ac0,お店,CH,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x67ac8,資金,V.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x67c78,価値,GT,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x67d8c,/V%sさん/v,/V%s/v,10,6,4,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x68a64,勝利者,VĐ,6,4,2,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x68c38,浴場,T.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
PRGPACK.BDP,0x68df8,ームができ、勝,Thắng,14,10,4,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x1838,レイピア,Rapi,8,8,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x18cc,クレイモア,Claym,10,10,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x1900,基本武器,VKCB,8,8,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x195c,Ｌ/V%d（あと/V%d）,L/V%d C/V%d,18,14,4,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x2028,不幸,X.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x203c,幸運,M.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x20a0,ワープ,DC,6,4,2,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x2104,じしん,ĐĐ,6,4,2,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x2118,落雷,S.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x2258,地震,ĐĐ,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x22a8,温泉,SN,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x22d0,庭園,V.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x244c,ヤスツナ,Yasu,8,8,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x2458,ガラハッド,Galhd,10,10,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x2470,ゴライアス,Golia,10,10,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x247c,メグメグ,Megu,8,8,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x2494,シンバッド,Sinba,10,10,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x31dc,「地震」,「ĐĐ」,8,8,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x767a4,丸薬,T.,4,4,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x767c4,クナイ,Kun,6,6,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x7681c,ダンテ,Dte,6,6,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x7682c,ハヤテ,Hyt,6,6,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x76834,ジガー,Jig,6,6,0,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
SLPS_020.75,0x7685c,バンク,NH,6,4,2,BATCH39_MASTER_CLOSURE_0.6.49.0,batch39-master-closure
