file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
SLPS_020.75,0x958,体力が５０回復したよ！,Đã hồi 50 HP!,Hồi 50HP!,SOURCE_FULL_TRANSLATED_ONLY,"Giữ giá trị 50 HP"
SLPS_020.75,0x970,%sに止まったよ,Đã dừng tại %s.,Dừng %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
SLPS_020.75,0x980,%sの土地に,Trên đất của %s...,Đất %s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
SLPS_020.75,0x98c,止まっちゃったよ,...bạn đã dừng lại mất rồi.,Đã dừng!,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; nối với field đất của %s"
SLPS_020.75,0x9ac,土地をかけて戦うことができるよ,Có thể chiến đấu với mảnh đất làm phần cược.,Chiến lấy đất,SOURCE_FULL_TRANSLATED_ONLY,"Mô tả cơ chế tranh đất"
SLPS_020.75,0x9dc,武器カードが手に入るわ,Bạn sẽ nhận được một Thẻ Vũ khí.,Nhận VK,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo phần thưởng"
SLPS_020.75,0xa14,所持金の２０％とられるよ,Bạn sẽ bị lấy 20% số tiền đang có.,Mất20% tiền,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 20%"
SLPS_020.75,0xa50,土地代の２０％とられるよ,Bạn sẽ bị lấy 20% giá trị đất.,Mất20% đất,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 20%"
SLPS_020.75,0xabc,%sは一回休みよ！,%s sẽ phải nghỉ 1 lượt!,%s nghỉ,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
SLPS_020.75,0xb08,戦いをしかけるよね？,Bạn sẽ thách đấu chứ?,Thách đấu?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt chiến đấu"
SLPS_020.75,0xe54,これでいい？,Như vậy ổn chứ?,Được?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt xác nhận"
SLPS_020.75,0xe9c,使用するカードをえらんでね,Hãy chọn lá bài muốn sử dụng.,Chọn thẻ,SOURCE_FULL_TRANSLATED_ONLY,"Prompt chọn card"
SLPS_020.75,0xeb8,「%s」を使うね,Sẽ dùng “%s” nhé.,Dùng %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
