file,offset_hex,japanese,vi_source_previous,vi_full_reviewed,status,note
SLPS_020.75,0x177c,使い捨て回復アイテム,Vật phẩm hồi phục dùng một lần,Vật phẩm hồi phục dùng một lần,SOURCE_REVIEWED,"Mô tả loại vật phẩm"
SLPS_020.75,0x17b0,ファイアボール,Cầu lửa,Cầu Lửa,SOURCE_REVIEWED,"Tên kỹ năng/vũ khí"
SLPS_020.75,0x17f0,エストック,Estoc,Estoc,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x1818,ジプシータロウ,Gypsy Taro,Gypsy Taro,SOURCE_REVIEWED,"Tên riêng; giữ cách gọi lịch sử"
SLPS_020.75,0x1828,バトルアックス,Rìu chiến,Rìu Chiến,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x1838,レイピア,Rapier,Rapier,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x18a4,ジャンビーヤ,Jambiya,Jambiya,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x18cc,クレイモア,Claymore,Claymore,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x18f0,ボーイナイフ,Dao Bowie,Dao Bowie,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x1900,基本武器,Vũ khí cơ bản,Vũ Khí Cơ Bản,SOURCE_REVIEWED,"Tên/nhóm vũ khí"
SLPS_020.75,0x190c,ダメージ,Sát thương,Sát Thương,SOURCE_REVIEWED,"Nhãn hiệu ứng"
SLPS_020.75,0x1918,武器破壊,Phá vũ khí,Phá Vũ Khí,SOURCE_REVIEWED,"Tên hiệu ứng"
SLPS_020.75,0x195c,Ｌ/V%d（あと/V%d）,Cấp %d (còn %d),Cấp /V%d (còn /V%d),SOURCE_REVIEWED,"Khôi phục và giữ nguyên thứ tự token /V%d /V%d của nguồn"
SLPS_020.75,0x1970,ランダム武器破壊,Phá ngẫu nhiên một vũ khí,Phá Ngẫu Nhiên Một Vũ Khí,SOURCE_REVIEWED,"Tên hiệu ứng"
SLPS_020.75,0x1984,指定武器破壊,Phá vũ khí chỉ định,Phá Vũ Khí Chỉ Định,SOURCE_REVIEWED,"Tên hiệu ứng"
SLPS_020.75,0x1994,指定武器取得,Lấy vũ khí chỉ định,Lấy Vũ Khí Chỉ Định,SOURCE_REVIEWED,"Tên hiệu ứng"
SLPS_020.75,0x1a48,ボーイナイフ,Dao Bowie,Dao Bowie,SOURCE_REVIEWED,"Tên vũ khí; nguồn lặp"
SLPS_020.75,0x2014,大不幸,Đại bất hạnh,Đại Bất Hạnh,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2028,不幸,Bất hạnh,Bất Hạnh,SOURCE_REVIEWED,"Tên event"
