file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
SLPS_020.75,0x1130,サンダー,Sấm Sét,Sấm,SOURCE_FULL_TRANSLATED_ONLY,"Tên phép/vũ khí"
SLPS_020.75,0x1158,ハリケーン,Bão Tố,Bão,SOURCE_FULL_TRANSLATED_ONLY,"Tên phép/vũ khí"
SLPS_020.75,0x117c,クロスボウ,Nỏ,Nỏ,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
SLPS_020.75,0x11a0,ロングソード,Trường Kiếm,Kiếm,SOURCE_FULL_TRANSLATED_ONLY,"Long Sword"
SLPS_020.75,0x11e0,ハンマー,Búa,Búa,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
SLPS_020.75,0x11ec,運がよければ敵を倒せるかも,Nếu may mắn, có thể hạ gục kẻ địch.,May hạ địch,SOURCE_FULL_TRANSLATED_ONLY,"Mô tả hiệu ứng"
SLPS_020.75,0x1208,特殊　速度６　使い捨て,Đặc biệt / Tốc độ 6 / Dùng một lần,ĐB tốc6 1L,SOURCE_FULL_TRANSLATED_ONLY,"Giữ ba thuộc tính của item"
SLPS_020.75,0x1220,いちかばちか,Liều Một Phen,Liều!,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng; nghĩa được ăn cả ngã về không"
SLPS_020.75,0x1230,あいてのカード一枚を破壊する,Phá hủy 1 lá bài của đối thủ.,Phá thẻ địch,SOURCE_FULL_TRANSLATED_ONLY,"Mô tả hiệu ứng"
SLPS_020.75,0x1260,ポリタンがみがわりに！？,Politan sẽ đỡ đòn thay bạn!?,Politan chắn,SOURCE_FULL_TRANSLATED_ONLY,"Giữ tên riêng Politan"
SLPS_020.75,0x127c,防御　速度７　使い捨て,Phòng thủ / Tốc độ 7 / Dùng một lần,Thủ SPD7 1L,SOURCE_FULL_TRANSLATED_ONLY,"Giữ ba thuộc tính của item"
SLPS_020.75,0x1294,みがわり,Thế Thân,Thế,SOURCE_FULL_TRANSLATED_ONLY,"Tên hiệu ứng"
SLPS_020.75,0x13b0,封いんされた魔法,Ma Pháp Bị Phong Ấn,Phong ấn,SOURCE_FULL_TRANSLATED_ONLY,"Tên phép/item"
SLPS_020.75,0x13e0,ダークメテオ,Thiên Thạch Hắc Ám,Meteor,SOURCE_FULL_TRANSLATED_ONLY,"Dark Meteor"
SLPS_020.75,0x1408,伝説の聖剣,Thánh Kiếm Huyền Thoại,Kiếm,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
SLPS_020.75,0x142c,エクスカリバー,Excalibur,Excal,SOURCE_FULL_TRANSLATED_ONLY,"Tên riêng vũ khí"
SLPS_020.75,0x143c,死亡するとＨＰ１００で復活,Khi tử trận, hồi sinh với 100 HP.,Hồi sinh100HP,SOURCE_FULL_TRANSLATED_ONLY,"Giữ giá trị 100 HP"
