japanese,vi_full,vi_runtime_historical,source,status,note
所得税マス,Ô Thuế Thu Nhập,Ô thuế,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Dynamic literal"
土地税マス,Ô Thuế Đất,Ô thuế đất,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Dynamic literal"
聖地マス,Ô Thánh Địa,Ô Thánh địa,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Dynamic literal"
戦闘マス,Ô Chiến Đấu,Ô chiến,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Dynamic literal"
分岐マス,Ô Ngã Rẽ,Ngã rẽ,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Dynamic literal"
プール金,Quỹ Chung,Quân quỹ,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Pool fund"
シンボル,Biểu Tượng,Tượng,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Thuật ngữ gameplay"
ルート,Tuyến Đường,Lộ,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Route"
ライバル,Đối Thủ,Địch thủ,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Rival"
領地,Lãnh Địa,Lãnh địa,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Territory"
修道会,Hội Tu Sĩ,Tu viện,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Tổ chức/cơ sở trong game"
神さま,Thần Linh,Thần linh,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"God/deity literal"
氷の女神,Nữ Thần Băng,Nữ thần băng,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Deity name"
時の神,Thần Thời Gian,Thần Thời,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Deity name"
運の神,Thần May Mắn,Thần Vận,BATCH11_DYNAMIC_LITERALS_0.6.20.0,SOURCE_FULL_TRANSLATED_ONLY,"Deity name"
エクスカリバー,Excalibur,Excalibur,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
ダークメテオ,Thiên Thạch Hắc Ám,Ám thiên thạch,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Dark Meteor"
伝説の聖剣,Thánh Kiếm Huyền Thoại,Thánh kiếm,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
封いんされた魔法,Ma Pháp Bị Phong Ấn,Phong ấn,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Magic/item name"
盗賊のオーブ,Quả Cầu Đạo Tặc,Ngọc đạo,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Item name"
力の指輪,Nhẫn Sức Mạnh,Nhẫn lực,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Item name"
ブラッドスピア,Huyết Thương,Huyết thương,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Blood Spear"
氷の女神のくちづけ,Nụ Hôn của Nữ Thần Băng,Nụ hôn Băng,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Card/event name"
カード交換,Đổi Thẻ,Đổi thẻ,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Card exchange"
れん金術,Thuật Giả Kim,Giả kim,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Alchemy"
病院,Bệnh Viện,Y viện,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Facility"
騎士団,Đoàn Kỵ Sĩ,Hiệp sĩ đoàn,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Organization/facility"
武器屋,Cửa Hàng Vũ Khí,Tiệm VK,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Facility"
エリア,Khu Vực,Lãnh địa,BATCH12_DYNAMIC_0.6.21.0,SOURCE_FULL_TRANSLATED_ONLY,"Area"
価値,Giá Trị,Giá trị,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Property stat"
金斗雲,Cân Đẩu Vân,Cân Đẩu Vân,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Tôn Ngộ Không cloud name"
