file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0x31f64,酒場へようこそ,Chào mừng đến quán rượu.,Chào!,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset; cùng ngữ cảnh mini-game"
PRGPACK.BDP,0x31f74,ちょうどタイクツしてたんだ,Đúng lúc tôi đang chán đây.,Đang chán quá,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset"
PRGPACK.BDP,0x31f90,わたしと一勝負してかないかい,Làm một ván với tôi trước khi đi chứ?,Đấu với ta?,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset"
PRGPACK.BDP,0x31fb0,今からふるダイスの目がこのダイス,Hãy đoán xem mặt xúc xắc sắp gieo so với mặt xúc xắc này...,So số sắp gieo,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; bản lặp exact-offset"
PRGPACK.BDP,0x31fd4,より大きいかちいさいか当てるんだよ,...sẽ lớn hơn hay nhỏ hơn nhé.,Đoán lớn/nhỏ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; bản lặp exact-offset"
PRGPACK.BDP,0x31ff8,最初の賞品はこいつさ,Phần thưởng đầu tiên là thứ này.,Thưởng đầu,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset"
PRGPACK.BDP,0x32010,なんだい、もう終わりかい,"Sao thế, nghỉ luôn rồi à?",Nghỉ rồi à?,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset"
PRGPACK.BDP,0x3202c,…つまんないね,…Chán thật đấy.,...Chán,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset"
PRGPACK.BDP,0x32040,やるね,Khá lắm!,Hay,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset"
PRGPACK.BDP,0x32048,もう勝負は終わりだよ,Ván đấu kết thúc rồi.,Đấu xong,SOURCE_FULL_TRANSLATED_ONLY,"Bản lặp exact-offset"
