japanese,vi_full,status,note
酒場へようこそ,Chào mừng đến quán rượu.,REVIEWED_SOURCE_TRANSLATION,"Thoại chào khách"
ちょうどタイクツしてたんだ,Đúng lúc tôi đang buồn chán đây.,REVIEWED_SOURCE_TRANSLATION,"Giọng hội thoại tự nhiên"
わたしと一勝負してかないかい,"Trước khi đi, làm một ván với tôi chứ?",REVIEWED_SOURCE_TRANSLATION,"一勝負 = một ván/một trận"
今からふるダイスの目がこのダイス,Hãy đoán xem mặt xúc xắc sắp gieo so với mặt xúc xắc này...,REVIEWED_SOURCE_TRANSLATION,"Mảnh câu nối với dòng kế"
より大きいかちいさいか当てるんだよ,...sẽ lớn hơn hay nhỏ hơn nhé.,REVIEWED_SOURCE_TRANSLATION,"Mảnh câu nối từ dòng trước"
最初の賞品はこいつさ,Phần thưởng đầu tiên là thứ này.,REVIEWED_SOURCE_TRANSLATION,"Mini-game quán rượu"
なんだい、もう終わりかい,"Sao thế, nghỉ luôn rồi à?",REVIEWED_SOURCE_TRANSLATION,"Giọng trêu nhẹ"
…つまんないね,…Chán thật đấy.,REVIEWED_SOURCE_TRANSLATION,"Giữ dấu lửng mở đầu"
もう勝負は終わりだよ,Ván đấu kết thúc rồi.,REVIEWED_SOURCE_TRANSLATION,"Mini-game quán rượu"
もう一勝負してくかい？,Làm thêm một ván nữa chứ?,REVIEWED_SOURCE_TRANSLATION,"Mini-game quán rượu"
つぎの賞品はこいつだよ,Phần thưởng tiếp theo là thứ này.,REVIEWED_SOURCE_TRANSLATION,"Mini-game quán rượu"
%d枚の武器カードが手に入ったよ,Bạn nhận được %d Thẻ Vũ khí.,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %d"
でももう持ち切れないみたい,"Nhưng có vẻ bạn không mang thêm được nữa.",REVIEWED_SOURCE_TRANSLATION,"Thông báo đầy sức chứa"
いらないカードを捨ててね,Hãy bỏ những lá bài không cần.,REVIEWED_SOURCE_TRANSLATION,"Quản lý bài"
武器カードは,Thẻ Vũ khí thì...,REVIEWED_SOURCE_TRANSLATION,"Mảnh câu; giữ trung tính"
手に入らなかったよ,Bạn không nhận được lá nào.,REVIEWED_SOURCE_TRANSLATION,"Thông báo kết quả"
%d枚、手に入れたよ,Bạn nhận được %d lá.,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %d"
武器カードを,Thẻ Vũ khí...,REVIEWED_SOURCE_TRANSLATION,"Mảnh câu; trợ từ を cho biết câu còn nối tiếp"
「%s」を捨てて、,"Bỏ “%s” đi, rồi...",REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s; mảnh câu"
「%s」を手に入れたよ,Bạn nhận được “%s”.,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s"
「%s」を手に入れたけど,"Bạn nhận được “%s”, nhưng...",REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên token %s; mảnh câu"
捨てたよ,Đã bỏ rồi.,REVIEWED_SOURCE_TRANSLATION,"Thông báo hoàn tất"
セリフ速度,Tốc độ lời thoại,REVIEWED_SOURCE_TRANSLATION,"Nhãn cài đặt"
セリフ表示,Hiển thị lời thoại,REVIEWED_SOURCE_TRANSLATION,"Nhãn cài đặt"
ボイス,Lồng tiếng,REVIEWED_SOURCE_TRANSLATION,"Nhãn âm thanh lời thoại"
アニメーション,Hoạt ảnh,REVIEWED_SOURCE_TRANSLATION,"Nhãn cài đặt"
終了ターン,Kết thúc lượt,REVIEWED_SOURCE_TRANSLATION,"Nhãn thao tác lượt"
プレイヤー設定,Cài đặt người chơi,REVIEWED_SOURCE_TRANSLATION,"Nhãn cài đặt"
しんどう設定,Cài đặt rung,REVIEWED_SOURCE_TRANSLATION,"Rung tay cầm"
１　（速い）,1 (Nhanh),REVIEWED_SOURCE_TRANSLATION,"Tùy chọn tốc độ"
２　（ふつう）,2 (Bình thường),REVIEWED_SOURCE_TRANSLATION,"Tùy chọn tốc độ"
   終了ターン,Kết thúc lượt,REVIEWED_SOURCE_TRANSLATION,"Biến thể nguồn có khoảng trắng đầu"
○ボタンをおしてね,Hãy nhấn nút ○.,REVIEWED_SOURCE_TRANSLATION,"Giữ ký hiệu nút theo nguồn"
%sはコントローラ%sだよ！,%s dùng tay cầm %s!,REVIEWED_SOURCE_TRANSLATION,"Giữ nguyên hai token %s và thứ tự"
