file,offset_hex,japanese,vi_full,vi_runtime_current,status,note
PRGPACK.BDP,0x674d0,手に入れたよ,Đã nhận được rồi.,Đã có,SOURCE_FULL_TRANSLATED_ONLY,"Exact-offset source companion; chưa thay runtime compact"
PRGPACK.BDP,0x674e0,手持ちの武器カードがいっぱいだよ,Số Thẻ Vũ khí đang mang đã đầy.,Thẻ VK đã đầy,SOURCE_FULL_TRANSLATED_ONLY,"武器カード = Thẻ Vũ khí"
PRGPACK.BDP,0x67504,なにか捨ててね,Hãy bỏ bớt một lá nhé.,Bỏ bớt,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo quản lý bài"
PRGPACK.BDP,0x67540,この土地を買うよ,Mua mảnh đất này.,Mua đất,SOURCE_FULL_TRANSLATED_ONLY,"Gameplay mua đất"
PRGPACK.BDP,0x67558,かいしめ,Thâu tóm.,Thâu,SOURCE_FULL_TRANSLATED_ONLY,"かいしめ = mua gom/thâu tóm"
PRGPACK.BDP,0x675dc,通行税%dゼニーはらってね,Hãy trả %d Zenny phí qua đường.,Nộp %d lộ phí,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
PRGPACK.BDP,0x675f8,武器カードをもらえるよ,Bạn sẽ nhận được Thẻ Vũ khí.,Nhận thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Gameplay nhận bài"
PRGPACK.BDP,0x67610,イベントカードをもらえるよ,Bạn sẽ nhận được Thẻ Sự kiện.,Nhận thẻ SK,SOURCE_FULL_TRANSLATED_ONLY,"イベントカード = Thẻ Sự kiện"
PRGPACK.BDP,0x67644,修道会が戦いを止めてくれたよ,Tu hội đã ngăn trận chiến lại.,Tu viện ngăn,SOURCE_FULL_TRANSLATED_ONLY,"修道会 = tu hội/dòng tu; dịch theo sắc thái fantasy"
PRGPACK.BDP,0x67664,戦いをしかけることができるよ,Bạn có thể chủ động khiêu chiến.,Thách đấu được,SOURCE_FULL_TRANSLATED_ONLY,"しかける = chủ động phát động"
PRGPACK.BDP,0x677e4,%dゼニーもとられちゃった,Bị lấy mất %d Zenny.,mất %d Zenny,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
PRGPACK.BDP,0x67800,所得税,Thuế thu nhập,TN,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn gameplay"
PRGPACK.BDP,0x67808,お金がないから,Vì không có tiền...,Cạn quỹ,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ dấu lửng vì ý nối"
PRGPACK.BDP,0x67818,関係なかったみたい,Có vẻ không ảnh hưởng gì.,Không sao,SOURCE_FULL_TRANSLATED_ONLY,"Kết ý từ trạng thái trước"
PRGPACK.BDP,0x6782c,土地税,Thuế đất,TĐ,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn gameplay"
PRGPACK.BDP,0x67834,土地を一つも持ってないから,Vì không sở hữu mảnh đất nào...,chưa có đất,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x67850,プール金取得,Nhận tiền từ quỹ chung,Quỹ,SOURCE_FULL_TRANSLATED_ONLY,"プール金 = tiền/quỹ chung"
PRGPACK.BDP,0x67860,%dゼニーもらっちゃった,Nhận được %d Zenny.,Nhận %d Z,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
PRGPACK.BDP,0x67878,税金たまってないじゃない,Chưa tích được đồng thuế nào cả.,Chưa có thuế,SOURCE_FULL_TRANSLATED_ONLY,"Lời thoại thân mật"
PRGPACK.BDP,0x67894,タイミング悪すぎぃ,Đúng là xui không đúng lúc.,xui quá,SOURCE_FULL_TRANSLATED_ONLY,"Giữ sắc thái than thở kéo dài"
PRGPACK.BDP,0x678a8,あーあ,Chán thật...,Ôi,SOURCE_FULL_TRANSLATED_ONLY,"Thán từ thất vọng"
PRGPACK.BDP,0x678d4,分岐マスだよ,Đây là ô ngã rẽ.,Ngã rẽ,SOURCE_FULL_TRANSLATED_ONLY,"マス = ô trên bàn cờ"
PRGPACK.BDP,0x678e4,ルートを切りかえる？,Đổi tuyến đường chứ?,Đổi đường?,SOURCE_FULL_TRANSLATED_ONLY,"Gameplay ngã rẽ"
PRGPACK.BDP,0x67920,ルートを切りかえたよ,Đã đổi tuyến đường.,Đã đổi,SOURCE_FULL_TRANSLATED_ONLY,"Gameplay ngã rẽ"
PRGPACK.BDP,0x6793c,このままにしとくわよ,Cứ để nguyên thế này.,Giữ nguyên,SOURCE_FULL_TRANSLATED_ONLY,"Lời thoại quyết định giữ tuyến"
PRGPACK.BDP,0x67954,ルートを切りかえるね,Tôi sẽ đổi tuyến đường nhé.,Đổi đường,SOURCE_FULL_TRANSLATED_ONLY,"Lời thoại quyết định đổi tuyến"
PRGPACK.BDP,0x6796c,売却,Bán,B.,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn quản lý tài sản"
PRGPACK.BDP,0x67974,抵当,Thế chấp,TC,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn quản lý tài sản"
PRGPACK.BDP,0x67980,４倍にするよ！,Sẽ tăng gấp 4 lần!,Tăngx4!,SOURCE_FULL_TRANSLATED_ONLY,"Hiệu ứng gameplay"
PRGPACK.BDP,0x67990,通行税を,Phí qua đường...,Phí,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x6799c,武器カードを,Thẻ Vũ khí...,Thẻ VK,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x679ac,イベントカードを,Thẻ Sự kiện...,Thẻ SK,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x679c0,自分が止まると,Khi bạn dừng lại...,Dừng,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x679d0,ことがあるよ！,...có thể xảy ra đấy!,có thể!,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; không tự suy diễn chủ ngữ"
PRGPACK.BDP,0x679e0,戦いをさけられる,Có thể tránh chiến đấu.,Tránh,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh mô tả hiệu ứng"
PRGPACK.BDP,0x679f4,建てれば、その土地の,"Nếu xây lên, của mảnh đất đó...",Nếu dựng,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; nội dung theo sau không có trong trường này"
PRGPACK.BDP,0x67a0c,ことができるよ！,...thì có thể làm được!,có thể!,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; giữ trung tính"
PRGPACK.BDP,0x67a20,して戦闘をしかける,...rồi phát động chiến đấu.,Thách đấu,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu bắt đầu bằng して"
PRGPACK.BDP,0x67a34,あいての体力をひくく,Làm HP của đối thủ giảm xuống...,Giảm HP,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x67a4c,くれるよ！,...cho bạn đấy!,Được!,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết; không bổ sung chủ thể ngoài nguồn"
PRGPACK.BDP,0x67a70,自分が止まるか、通過,"Khi bạn dừng lại hoặc đi qua...",Dừng/qua,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x67ab8,価格,Giá,G.,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67ac0,お店,Cửa hàng,CH,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67ac8,資金,Vốn,V.,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI; 資金 = vốn/nguồn tiền"
PRGPACK.BDP,0x67ad0,どのお店にする？,Chọn cửa hàng nào?,Chọn sạp,SOURCE_FULL_TRANSLATED_ONLY,"UI lựa chọn"
PRGPACK.BDP,0x67aec,土地名,Tên đất,Tên,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67af4,どの土地にする？,Chọn mảnh đất nào?,Chọn đất,SOURCE_FULL_TRANSLATED_ONLY,"UI lựa chọn"
PRGPACK.BDP,0x67b08,合計金額,Tổng số tiền,Tổng,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67b14,物件,Tài sản,TS,SOURCE_FULL_TRANSLATED_ONLY,"物件 dùng theo ngữ cảnh tài sản/bất động sản trên bàn cờ"
PRGPACK.BDP,0x67b1c,どの物件を売るの？,Bạn muốn bán tài sản nào?,Bán đâu?,SOURCE_FULL_TRANSLATED_ONLY,"UI bán tài sản"
PRGPACK.BDP,0x67b30,不足金額,Số tiền còn thiếu,Nợ,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67b4c,どの土地をせめる？,Tấn công mảnh đất nào?,Đánh đất?,SOURCE_FULL_TRANSLATED_ONLY,"せめる = tấn công"
PRGPACK.BDP,0x67b60,シンボル,Biểu tượng,Biểu,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67b6c,どれを壊すの？,Phá cái nào?,Phá gì?,SOURCE_FULL_TRANSLATED_ONLY,"UI chọn mục tiêu phá"
PRGPACK.BDP,0x67b7c,抵当額,Số tiền thế chấp,TC$,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67b84,どこを戻すの？,Bạn muốn chuộc lại chỗ nào?,Chuộc?,SOURCE_FULL_TRANSLATED_ONLY,"Ngữ cảnh ngay sau 抵当額 nên 戻す hiểu là chuộc/khôi phục tài sản thế chấp"
PRGPACK.BDP,0x67b94,どの物件を売る？,Bán tài sản nào?,Bán đâu?,SOURCE_FULL_TRANSLATED_ONLY,"UI bán tài sản"
PRGPACK.BDP,0x67ba8,エリア名,Tên khu vực,Khu,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67bb4,どのエリアにする？,Chọn khu vực nào?,Chọn khu?,SOURCE_FULL_TRANSLATED_ONLY,"UI lựa chọn"
PRGPACK.BDP,0x67bc8,どこに建てる？,Xây ở đâu?,Xây?,SOURCE_FULL_TRANSLATED_ONLY,"UI xây dựng"
PRGPACK.BDP,0x67c0c,%sエリア,Khu vực %s,Khu%s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
PRGPACK.BDP,0x67c18,%sエリア%s,Khu vực %s%s,Khu%s%s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ hai token %s đúng thứ tự"
PRGPACK.BDP,0x67c64,ＯＫをえらんでね,Hãy chọn OK.,Chọn OK,SOURCE_FULL_TRANSLATED_ONLY,"Hướng dẫn UI"
PRGPACK.BDP,0x67c78,価値,Giá trị,GT,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67c80,通行税,Phí qua đường,Phí,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn UI"
PRGPACK.BDP,0x67c88,物件を決めたら、,"Sau khi chọn tài sản,...","Chọn TS,",SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
PRGPACK.BDP,0x67d50,そんな土地ないじゃない,Đâu có mảnh đất như thế.,Không có,SOURCE_FULL_TRANSLATED_ONLY,"Lời thoại phản hồi lựa chọn không hợp lệ"
