japanese,vi_full,vi_runtime_current,file_scope,status,note
トロル通り,Phố Troll,Troll,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên lãnh địa quan sát ở runtime; giữ Troll như tên riêng"
ジガー,Jigger,Jig,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo note nguồn"
ダンテ,Dante,Dan,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
孫悟空,Tôn Ngộ Không,Ngộ,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật thần thoại"
ハヤテ,Hayate,Hay,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
ヤスツナ,Yasutsuna,Yasu,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
ガラハッド,Galahad,Galah,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
ティアラ,Tiara,Tiar,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
ゴライアス,Goliath,Golia,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
メグメグ,Megu Megu,Megu,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
アガート,Agate,Agat,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật theo note nguồn"
シンバッド,Sinbad,Sinba,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên nhân vật"
サンダー,Sấm Sét,Sấm,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí/phép động"
ハリケーン,Bão Tố,Bão,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí/phép động"
クロスボウ,Nỏ,Nỏ,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
ロングソード,Trường Kiếm,Kiếm,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Long Sword"
ハンマー,Búa,Búa,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
スノーストーム,Bão Tuyết,Bão,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Snow Storm"
ファイアボール,Cầu Lửa,Lửa,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Fireball; dynamic literal chưa có exact-offset trong Batch40 NEW"
バトルアックス,Rìu Chiến,Rìu,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Battle Axe"
レイピア,Rapier,Rap,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
エストック,Estoc,Estoc,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí; dynamic literal chưa có exact-offset trong Batch40 NEW"
ジプシータロウ,Gypsy Taro,Gypsy,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Giữ dạng tên riêng theo katakana"
ジャンビーヤ,Jambiya,Jamb,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
クレイモア,Claymore,Clay,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
ボーイナイフ,Bowie Knife,Bowie,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
せつなの剣,Kiếm Setsuna,Kiếm,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Giữ Setsuna như tên riêng, tránh suy diễn tên"
シールド,Khiên,Thủ,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Shield"
はかば,Nghĩa Địa,Mộ,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên ô/công trình"
死神像,Tượng Tử Thần,Tử,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
女神像,Tượng Nữ Thần,Nữ,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
邪神像,Tượng Tà Thần,Tà,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
悪魔の塔,Tháp Ác Ma,Tháp,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
呪いの沼,Đầm Lầy Nguyền Rủa,Đầm,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
サーカス,Rạp Xiếc,Xiếc,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
墓地,Nghĩa Địa,Mộ,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên ô/công trình"
大聖堂,Đại Thánh Đường,Đền,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Tên công trình"
通行税,Phí Qua Đường,Phí,AUTO,SOURCE_FULL_TRANSLATED_ONLY,"Thuật ngữ gameplay"
